id,stake,race,gender,education,income,zip_code,birth_year,prior_participation,communication_with_government,worked_in_planning,challenges_completed,replies,likes,neighborhood_cleanup,tune_up_neighborhood_bike_works,give_the_gift_of_art,improve_the_rec_center,the_woodlands_tree_fund,help_green_lea_elementary_school,books_through_bars,fresh_food_on_wheels,second_mile_thrift_store,west_philly_tool_library,,,,,,,
2599,Lives in University/Southwest,White,Male,Bachelor's Degree,"$25,000 - $50,000",19104,1981,Yes,"Yes, through personal meetings",Yes,100%,7,19,1640,,,,,,,,,,,,,,,,
2333,,White,Male,Master's Degree,,,1976,I prefer not to answer,"Yes, by email",I prefer not to answer,100%,35,20,1230,,,,,,,,,,,,,,,,
3273,Works in University/Southwest,"Hispanic, Latino, or Spanish",Male,Master's Degree,"$50,000 - $75,000",19146,2000,No,No communication,No,100%,23,29,790,530,150,,,,,,,,,,,,,,
2806,Community Organizer or Activist,Black or African American,Female,Master's Degree,"$75,000 - $100,000",19143,1983,Yes,"Yes, through community meetings",No,100%,12,29,740,50,260,540,,,,,,,,,,,,,
2251,Lives in University/Southwest,White,Male,Doctoral Degree,"$50,000 - $75,000",19104,1952,Yes,"Yes, through personal meetings",Yes,100%,0,33,620,710,50,,,,,,,,,,,,,,
2990,Community Organizer or Activist,White,Male,Bachelor's Degree,"$50,000 - $75,000",19101,1946,Yes,"Yes, by letter",Yes,100%,0,19,590,690,,,,,,,,,,,,,,,
2680,Lives in University/Southwest,White,Male,Bachelor's Degree,"over $100,000",19143,1979,Yes,"Yes, through community meetings",Yes,100%,3,57,550,30,510,210,,,,,,,,,,,,,
2308,Lives in University/Southwest,White,Male,Master's Degree,"$25,000 - $50,000",,1987,I prefer not to answer,"Yes, by email",I prefer not to answer,100%,0,27,510,720,220,,,,,,,,,,,,,,
2232,Observer,White,Male,Doctoral Degree,"$75,000 - $100,000",19122,1987,No,No communication,No,100%,0,8,460,680,210,,,,,,,,,,,,,,
2331,Works in University/Southwest,White,Female,Bachelor's Degree,"$50,000 - $75,000",19146,1985,Yes,"Yes, by email",Yes,100%,0,13,400,200,420,400,,,,,,,,,,,,,
2227,Observer,White,Male,Master's Degree,"$25,000 - $50,000",,1983,I prefer not to answer,"Yes, through community meetings",I prefer not to answer,100%,10,53,280,100,810,220,200,,,,,,,,,,,,
2322,Lives in University/Southwest,White,Female,Some College,,,1939,I prefer not to answer,"Yes, by phone",I prefer not to answer,100%,0,11,220,300,200,120,540,,,,,,,,,,,,
2815,Lives in University/Southwest,White,Male,Bachelor's Degree,"$75,000 - $100,000",19104,1985,No,"Yes, by email",No,100%,2,27,220,460,680,,,,,,,,,,,,,,
2643,Observer,White,Male,Master's Degree,"over $100,000",19104,1983,No,No communication,I prefer not to answer,100%,0,27,220,460,680,,,,,,,,,,,,,,
2455,Lives in University/Southwest,White,Male,Bachelor's Degree,"over $100,000",,1983,Yes,"Yes, through community meetings",Yes,100%,0,44,220,500,740,,,,,,,,,,,,,,
2675,"Community Organizer or Activist, Lives in University/Southwest, Volunteer",I prefer not to answer,Female,Master's Degree,I prefer not to answer,19143,2000,I prefer not to answer,"Yes, by email",Yes,100%,10,18,220,640,720,,,,,,,,,,,,,,
2263,,White,Female,Doctoral Degree,I prefer not to answer,191943,1970,Yes,"Yes, by email",Yes,100%,0,15,210,460,530,,,,,,,,,,,,,,
