challenge_id,challenge_title,mission,challenge_question
421,Beauty and the Beach,1,"Cape Cod is a region defined by water, whether it's the beautiful shoreline, world-famous beaches, or pristine ponds. Do you have a favorite beach, pond, or water body on the Cape? Drop a pin on the map, and then upload an image or describe what makes it so special."
422,Why Cape Cod?,1,"The Cape brings all kinds of people together. Whether you were born and raised here, or just love spending time here, your connection to the Cape is all your own. Do you remember why you or your family first came to the Cape? What brought you here?"
423,If We Do Nothing...,1,"We know that the future quality of the Cape's water is in jeopardy due to an overabundance of nitrogen in our ecosystem. The resources on the left explore this problem. What will happen if we do nothing? Take a moment to look at the resources, and then consider your answers to the previous two challenges. How would this future scenario change your favorite places, or your reasons for coming here?"
425,Fun on the Cape,1,"Cape Cod is a wonderful place to be outdoors. What is your favorite outdoor activity? Share a photo, upload a video, or just explain what makes this activity so rewarding to you."
426,Algae Spotters!,1,"Seeing large accumulations of algae in a body of water is often a sign of excess nitrogen. These ""algae blooms"" can have a number of harmful consequences to our environment. Have you seen algae in the water or at any of your favorite beaches or ponds? If so, let us know where, or upload a photo."
427,Where Your Wastewater Goes,1,"Cape Cod has 105 watersheds. Water in these watersheds drains either directly to the ocean, or to one of our coastal bays (called an embayment). Our embayments tend to have higher nitrogen concentrations than the open ocean. This makes them prime habitat for destructive algae blooms. Using the resources, find where you live or stay on the Cape, and tell us whether your house is located in a watershed that contributes to a coastal bay (embayment), or a watershed that contributes directly to the open ocean."
429,Meet Lin,1,"Lin has some plans for her future, and imagines herself as a life-long Cape resident. If nothing is done about the nitrogen problem, how will her future be affected? How might her plans need to change? What actions, if any, could she or her parents take to help preserve the future life she's working toward?"
430,Meet Jason,1,"Imagine you're a friend of Jason's, and he brings up the environmental problems he's noticed in conversation. What argument(s) would you make to convince him to become more civically active about this issue? Why should he be? How could his business be affected if nothing is done?"
431,Meet Betsy,1,"If you were Betsy, what steps might you take to protect your property and help improve the water quality on Cape Cod? What would be your first priority? What long-term steps might you take?"
433,Septic Woes,1,"Most of the excess nitrogen in Cape Cod's water bodies comes from water draining from septic systems. On average, a household with a traditional septic system contributes 10 lbs of Nitrogen to its watershed each year. Over 20 years, installing and maintaining your septic systems can cost $1,150 annually and approximately $13,000 if it needs to be replaced. To avoid total septic system failure and to keep it working properly, a septic system should be properly maintained. When was the last time you, or your family, had your septic tank pumped, or replaced?"
434,What Will You Do?,1,"The nitrogen problem on the Cape is large and complex. Everyone contributes nitrogen, and no single solution to manage it would work and be affordable. However, individuals can have a real, direct impact on reducing nitrogen. Which (if any) of the following actions would you be willing to take? Do you know any other ways you can help? Take a look at the attached resources for more information on these options."
435,Is It Affordable?,1,"The federal government estimates that a household spends approximately 1% of their income on water and wastewater treatment each year. Based on the median Cape Cod income, that equals roughly $582/year. Would you, or your family, be able to pay this amount annually for water and wastewater treatment on Cape Cod?"
437,In A Word,2,"The Cape is a collection of unique towns and neighborhoods, no two exactly alike. What one word or phrase do you think best describes your Cape Cod community?"
438,Wetter Is Better,2,"Earlier, we talked about how important water is to Cape Cod. In your opinion, how do beaches, ponds, and water bodies shape the identity of your Cape Cod community? If you can, share a photo or video of a place in your community that fits your description."
439,Cape Trekking,2,"Other than the town that you live or stay in, which Cape Cod communities have you visited? Use your comment to tell us what is your favorite place to visit on the Cape, outside of your own community."
