score,popular,user_id,challenge_id,response,media,likes_num,replies_num,replies
1,0,4276,435,Yes,,0,0,
-1,0,4276,434,"Composting food and waste, Using nitrogen-free household products, Reducing or eliminating the use of fertilizers on your yard, Installing special landscaping that captures stormwater runoff, Installing special bathroom fixtures\nalready have done several of these - haven't looked into special landscaping though",,0,0,
0,0,4276,433,In the past 2 years\nIt is a necessary cost of living on the Cape,,0,0,
0,1,4276,431,Be sure that the septic is up to date- it is a cost of living on Cape Cod- ,,1,0,
0,1,4276,430,"As a local business owner, a tax payer and as a family man he will be directly effected - ",,1,0,
6,1,4276,429,"more ponds, lakes, could be forced to close down due to the high algae rate- the best thing we can do is become educated listen to the experts and be able to vote as an informed member of our  society for the solution that we believe will maintain our region best ",,1,0,
0,0,4276,427,My watershed contributes to a coastal bay (embayment)\nOrleans,,0,0,
-5,0,4276,426,The ponds in Nickerson State Park- in fact gets really bad in the late summer and many years people and their pets are warned to stay out of the water,,0,0,
3,3,4276,425,Being able to drive out on the lower capes outer beaches of Race Point and Nauset and spending time there with family and friends. It is always amazing the first time someone takes a ride out to one of these beaches and experiences it for the first time- one tends to forget what a unique experience it truly is!,,3,0,
-1,1,4276,423,So many small local businesses are directly connected to health of our waterways- be it the tourist industry or for food. If the water becomes more of an issue that it starts affecting these small businesses it will be incredibly hard to get our economy back on track- ,,1,0,
4,0,4276,421,"[[[41.77280086004196, -69.98172479248046]]]\nCrystal Lake is right around the corner from our home- in the summer it get sunlight on the eastern shore until 8- so its perfect for a swim after work. The lake is incredibly warm and many locals swim the length of it daily.",,0,0,
0,2,4276,422,My Grandparents started visiting the Cape back in the 1940's- our family would come out and stay at the Tides motel out in Ptown into the early 90's. My parents ended up purchasing their home here in 97 and I became a permanent resident myself back in 2002. ,,2,0,
17,0,4280,463,"This is a good start. You should press on with email blasts and media on the ongoing work and every time I visit the Cape, I want to see the ongoing work, in the hotels, restaurants, commercials, signs - clever and eye opening quick phrases and statistics for every age to understand.   
50 years from now?  I'll be almost 100 years old!  LOL  I hope that should I be so lucky, to see the Cape and say look how cherished it is here, even BETTER, thanks to all the caring work throughout the next 1-10 years.  Plan well.  Work hard. PERSIST!",,0,0,
3,0,4280,462,"With a concerted effort by everyone, Arturo's rent many not increase, or at least not as much as it might.  He also should care about the quality of water for his customers and his family. ",,0,0,
0,0,4280,461,"All residents, All businesses, The state government, The federal government, Visitors",,0,0,
1,1,4280,459,"Might attend\nDepends on the timeframe.  I am one of many ""visitors/vacationers"" active on this game who would attend...plan these meetings appropriately.  And keep the dialogue going with emails out to everyone with a website link for us to follow and provide input.",,1,0,
9,1,4280,458,"It would benefit him in the long term, but he is correct in that short term, thoughtful solutions be made, promptly, so that people could see what is being done to help the Cape, it's health, it's economy and show the long-term coordinate projects.  Being a planner, NO one likes a big plan that they will ultimately say ""just sits on a shelf"". ",,1,0,
0,0,4280,457,Fish!  And it most certainly depends on water quality.,,0,0,
0,0,4280,455,"N/A as a vacationer.  But this question is tricky in that if you look at less densely developed towns which may at some point grow along with it's neighboring town, then the answer changes. ",,0,0,
8,0,4280,454,"Yes\nProtection against future storms and aesthetics notwithstanding, a comprehensive review of the current situation and projections are needed to gain further information as how best to allow future development.",,0,0,
-5,0,4280,453,"I was already an expert\nUnfortunately an expert by witnessing gradual effects to serious harm in the waters I played in as a kid: the ""Dead Zones"" in the Chesapeake Bay.",http://communityplanit.org/assets/attachments/417/420/DE%20cottages.jpg,0,0,
5,2,4280,450,"Love the Kettle Ponds. Favorite pond is Flaxpond, Brewster for swimming and kayaking.",http://communityplanit.org/assets/attachments/417/420/kettle%20ponds.jpg,2,0,
3,2,4280,451,"More likely to support\nOne generation of change is dramatic, when looking at other environmental efforts throughout the United States - and ""well"" worth it!",,2,0,
6,0,4280,449,"Dramatic tidal changes on the bay side, unique charm to each town, variety of talented artists, protected dunes, sweeping views of coastline and a strong community.",,0,0,
2,0,4280,447,"Yes\nagain, one size does not fit all, but I would generally agree.",,0,0,
10,0,4280,446,"Change current development rules to limit growth, Direct growth to areas where treatment could be provided at a lower cost, Acquire and set aside open space to eliminate nitrogen from future growth, Use different wastewater treatment types for the newly developed areas\nOne size doesn't fit all, so it would have to be analyzed both on the local boards and counties (and working in tandem with best practices in Massachusetts (so many well educated, concerned residents, students - use all means necessary!).",,0,0,
