user_id,stake,race,gender,education,income,zip_code,birth_year,prior_participation,communication_with_government,worked_in_planning,coins,challenges_completed
4276,"Work on Cape, Year-round Cape resident",White,Female,Bachelor's Degree,n/a,02662,1975,n/a,"Yes, by email",n/a,290,33%
4280,Vacationer,White,Female,Master's Degree,n/a,06517,2000,Yes,"Yes, through community meetings",Yes,1410,100%
4122,Year-round Cape resident,White,Female,High School or less,n/a,02664,1952,Yes,"Yes, through community meetings",No,1440,100%
4470,,,,,,,,n/a,,n/a,70,10%
4499,Observer,,,,,,,n/a,,n/a,20,2%
4458,"Regular visitor, Vacationer",White,Female,Bachelor's Degree,n/a,12309,1962,No,"Yes, through personal meetings",Yes,1570,100%
4148,Year-round Cape resident,White,Male,Doctoral Degree,$50k - $75k,02645,1944,Yes,"Yes, through community meetings",Yes,620,33%
4237,"Business owner, Year-round Cape resident",White,Male,Some College,$25k - $50k,02631,1952,No,"Yes, through personal meetings",Yes,1040,67%
4558,Work on Cape,White,Female,Bachelor's Degree,$25k - $50k,02360,1989,n/a,No communication,n/a,560,33%
4509,,White,Female,Bachelor's Degree,n/a,02637,1953,No,"Yes, through community meetings",No,1090,67%
4522,,White,Female,Bachelor's Degree,n/a,02667,1970,No,"Yes, by letter",No,730,33%
4531,Year-round Cape resident,"Hispanic, Latino, or Spanish",Female,Bachelor's Degree,$25k - $50k,02632,1983,No,"Yes, by email",Yes,50,4%
4160,,White,Male,Master's Degree,$75k - $100k,02673,1955,No,"Yes, through personal meetings",No,30,4%
4550,,White,Male,High School or less,over $100k,02649,1997,No,"Yes, through community meetings",Yes,170,10%
4570,,White,Female,Some College,$50k - $75k,02667,1941,No,"Yes, by email",Yes,20,2%
4301,Work on Cape,White,Male,Professional Degree,n/a,02632,1949,Yes,"Yes, through community meetings",Yes,1580,100%
4371,Year-round Cape resident,White,Female,Master's Degree,$75k - $100k,02662,1948,Yes,"Yes, through community meetings",Yes,960,67%
4533,Year-round Cape resident,White,Female,Master's Degree,$50k - $75k,02653,1948,No,"Yes, by email",No,670,33%
4568,"Work on Cape, Year-round Cape resident",White,Female,Bachelor's Degree,$50k - $75k,02601,1977,Yes,"Yes, by email",Yes,680,33%
4108,Municipal employee,White,Male,Bachelor's Degree,over $100k,02346,1963,Yes,"Yes, by email",Yes,100,12%
4538,,White,Male,Master's Degree,n/a,02660,1959,No,No communication,n/a,20,2%
4487,Cape second home owner,White,Female,Master's Degree,$75k - $100k,01770,1965,No,"Yes, by email",No,340,33%
4393,Year-round Cape resident,White,Male,Doctoral Degree,n/a,02672,1945,Yes,n/a,n/a,1440,100%
4508,,White,Female,Bachelor's Degree,$50k - $75k,02668,1957,Yes,"Yes, through community meetings",Yes,510,33%
4423,"Business owner, Year-round Cape resident",White,Female,Master's Degree,n/a,02632,1978,Yes,"Yes, through community meetings",Yes,1300,100%
4190,Year-round Cape resident,White,Female,Master's Degree,n/a,02649,2000,Yes,"Yes, by email",Yes,1590,100%
4145,,,,,,,,n/a,,n/a,20,2%
4159,"Work on Cape, Year-round Cape resident",White,Female,Master's Degree,n/a,02633,1958,Yes,"Yes, by email",No,1730,100%
4182,,,,,,,,n/a,,n/a,20,2%
