challenge_id,challenge_title,mission
106,Beautiful Philadelphia,1
107,Play Space,1
108,Home Away From Home,1
110,University/Southwest: Job Center or Not?,1
111,An Apple a Day Part 1,1
112,An Apple a Day Part 2,1
117,Crossing the River,1
119,Getting Around,1
121,Grid Lock,1
124,Count Your Neighbors,1
127,Alma Maters,1
129,Meet Rachel,1
136,In the Zone,2
142,Shopping Spree?,2
145,Meet Sarah,2
150,Getting from A to B,2
152,Getting There Faster,2
156,Meet Kevin,2
159,New Life for a Quiet Corner,2
161,Big Changes,2
162,Meet Celia,2
167,I've Never Been There,2
169,Rollin' on the River,2
171,Meet Marcel,2
173,Different Kinds of Housing,3
174,New Jobs in an Old Area,3
175,Marcel: Back In Business?,3
177,Improving Housing Options,3
179,Shopping by Trolley,3
182,Parking Your Two Wheels,3
184,Better Buses,3
195,Pick Us a Winner,3
197,Free Bikes For All!,3
283,Better Biking,3
285,Recently Created Park Spaces,3
288,Better Parks,3
