user_id,stake,race,gender,education,income,zip_code,birth_year,prior_participation,communication_with_government,worked_in_planning,coins,challenges_completed
2223,,,,,,,,n/a,,n/a,40,4%
2621,,Other,n/a,n/a,n/a,11211,2000,n/a,n/a,n/a,140,10%
2635,Observer,White,Male,Bachelor's Degree,$50k - $75k,01970,1985,No,"Yes, through personal meetings",Yes,290,33%
4424,,White,Male,Bachelor's Degree,n/a,01970,1983,n/a,No communication,n/a,120,10%
4601,,"Hispanic, Latino, or Spanish",Female,High School or less,n/a,90044,1999,No,No communication,n/a,730,67%
4602,,Black or African American,Male,High School or less,$25k - $50k,90044,1999,No,"Yes, through social media",No,1300,100%
4603,Student,"Hispanic, Latino, or Spanish",Male,High School or less,n/a,90037,1999,No,n/a,n/a,640,52%
4604,,Multiracial,Female,High School or less,n/a,90044,1998,No,No communication,No,520,67%
4605,,"Hispanic, Latino, or Spanish",Female,n/a,n/a,90037,1999,n/a,No communication,n/a,600,65%
4606,,,,,,,,n/a,,n/a,370,38%
4607,Student,"Hispanic, Latino, or Spanish",Female,High School or less,n/a,90044,1998,No,No communication,No,710,62%
4608,,Black or African American,Male,Master's Degree,over $100k,90044,1999,n/a,No communication,n/a,660,67%
4609,,"Hispanic, Latino, or Spanish",Male,High School or less,n/a,90047,1998,No,n/a,n/a,670,67%
4611,Student,,,,,,,n/a,,n/a,360,40%
4612,,"Hispanic, Latino, or Spanish",Male,High School or less,n/a,90003,1999,n/a,n/a,n/a,690,67%
4613,,"Hispanic, Latino, or Spanish",Female,Doctoral Degree,over $100k,90037,1999,n/a,"Yes, by phone",n/a,620,62%
4615,Student,"Hispanic, Latino, or Spanish",Female,High School or less,n/a,900062,1999,No,n/a,n/a,330,38%
4616,,Asian,Female,Master's Degree,over $100k,90037,1999,No,"Yes, by phone",Yes,700,65%
4618,Student,"Hispanic, Latino, or Spanish",Male,Master's Degree,n/a,90047,1999,No,n/a,No,1160,100%
4619,Student,n/a,Female,n/a,$25k - $50k,90037,1999,No,n/a,n/a,580,44%
4620,Student,Multiracial,Male,High School or less,n/a,90444,1999,Yes,No communication,No,620,46%
4621,,,,,,,,n/a,,n/a,610,79%
4622,,"Hispanic, Latino, or Spanish",Male,High School or less,n/a,90044,1999,No,No communication,No,440,35%
4624,,"Hispanic, Latino, or Spanish",Female,High School or less,n/a,90044,1999,No,No communication,n/a,380,40%
4626,,"Hispanic, Latino, or Spanish",Male,High School or less,n/a,90037,2000,n/a,n/a,n/a,620,60%
4627,,,,,,,,n/a,,n/a,600,62%
4628,,Other,Male,High School or less,n/a,90044,1998,n/a,"Yes, by phone",Yes,570,44%
4631,Teacher,White,Female,Master's Degree,$50k - $75k,90026,1980,Yes,"Yes, through community meetings",Yes,1450,100%
4632,Teacher,"Hispanic, Latino, or Spanish",Male,Master's Degree,$50k - $75k,90065,1979,Yes,"Yes, through community meetings",Yes,1410,98%
4633,,"Hispanic, Latino, or Spanish",Male,High School or less,n/a,90062,1996,No,n/a,No,230,33%
4635,,,,,,,,n/a,,n/a,130,21%
4636,Student,Other,Male,High School or less,n/a,90044,1999,Yes,"Yes, by phone",Yes,390,48%
4637,Student,"Hispanic, Latino, or Spanish",Male,High School or less,n/a,90044,1998,No,No communication,No,120,25%
4638,,"Hispanic, Latino, or Spanish",Male,High School or less,n/a,90044,1999,No,n/a,n/a,540,62%
4639,Student,"Hispanic, Latino, or Spanish",Female,Master's Degree,over $100k,90044,1999,No,"Yes, by email",No,550,67%
4640,Student,"Hispanic, Latino, or Spanish",Female,n/a,n/a,90044,1996,No,n/a,n/a,60,12%
4643,Student,"Hispanic, Latino, or Spanish",Female,High School or less,n/a,90037,1998,No,No communication,No,30,4%
4645,Student,"Hispanic, Latino, or Spanish",Male,High School or less,$75k - $100k,90044,1997,n/a,"Yes, by email",n/a,20,2%
4646,Student,"Hispanic, Latino, or Spanish",Male,Doctoral Degree,$50k - $75k,90044,1997,No,No communication,No,40,8%
4648,Student,"Hispanic, Latino, or Spanish",Female,n/a,n/a,90044,1999,n/a,n/a,n/a,140,25%
4650,Student,n/a,Male,High School or less,n/a,90044,1997,n/a,n/a,n/a,130,21%
4651,Student,"Hispanic, Latino, or Spanish",Male,High School or less,$25k - $50k,90044,1999,No,Other,n/a,510,52%
4654,,,,,,,,n/a,,n/a,50,6%
4656,Observer,White,Male,Bachelor's Degree,$75k - $100k,97123,1978,Yes,"Yes, by phone",No,730,77%
4657,Observer,White,Female,Doctoral Degree,n/a,90041,1975,No,"Yes, by email",Yes,140,12%
