score,popular,user_id,challenge_id,response,media,likes_num,replies_num,replies
4,0,4943,555,"Garden Fresh Box is a great option, an affordable box of produce once monthly with many convenient pick up locations. 
In addition there is the Farmers Market on Ontario open on Saturdays in Sarnia all year, Petrolia until October and the market by the bay on Sundays until late September.  
There are also local farms with reasonable prices: ie. Zekfelds",,0,0,
2,0,4943,551,A head of locally grown romaine lettuce (1.99)\nI would always choose local if I can and I do not like produce that has been packaged.,,0,0,
0,0,4943,565,3,,0,0,
1,0,4943,549,"Abosolutely!!! I would definitely use it if produce was fresh.  I would buy produce, meats, eggs, etc all local.",,0,0,
5,0,4943,546,Local peaches from a local grocery.  They were fresh and smelled wonderful!,,0,0,
0,0,4943,545,Cost,,0,0,
0,0,4943,544,Chain supermarket,,0,0,
6,0,5352,562,I do see my self as a localvore.  I believe that it is is important to eat fresh fruits and vegetables for my health.  I also believe that purchaing locally produced produce strengthens the local food system.  It helps to provide options that will disappear if local producers can't find a market. ,,0,0,
3,0,5352,561,"Other (explain in your comment)\nThis is hard one.  You need to find ways to increase the demand or the produce that local farmers can produce.  That means you need shop at dam markets and encourage other to do the same.  When you go out to eat you need to ask if there are any items on the menu that include local products.  Institutional food prepare in your community's hospitals, schools soup kitchens. churches, meals on wheels need to be encouraged to buy from local producers.
There should be labels in all of the market that identify the locally produced products.  More produce needs to be in the convenience stores.",,0,0,
7,0,5352,560,"In my experience, anytime you can connect what is going on in your community to the classroom there are big benefits.   First the student realize the they are studying something that is real.   When it comes to food I would venture that most students are interested in FOOD.
The more connections that can be made to understanding the local economy and how it relates to food production and consumption the more that you can learn about the impacts of food choices, the types of food sources and the impact of food on their own health and well being, the more they will be interested.  ",,0,0,
-1,0,5352,556,I am  Out of the area so I don't have any input on this challenge.,,0,0,
16,0,5352,557,"I know of a few really great Community Gardens  One is called Harvest for the Hungry.  It has been running for decades in Santa Rosa, CA.  They grow food to give away!
Another Great Community Garden is the Posh Squash.  It is located at the Sea Ranch, CA.  The efforts are self supporting and supply food to the actual gardeners supplying the labor to the garden.
I think that some of the most important type of support is free access to the land and then the next most important is the clarity of purpose, and ensuing organizational structure to enable it to thrive.",,0,0,
11,0,5352,555,I believe that it would be in the best interest of the County to find ways to promote and distribute information about all of the sources for local produce available in her neighborhood.  You might need to use radio or TV or other means to drive interested people to a website thaws dedicated to providing this information.  You could partner with the local papers and the local producers to fund the adverting  as a local benefit to the community.,,0,0,
0,0,5352,551,A head of romaine lettuce from California (1.29)\nThat is simple because I live in California.  But I probably wouldn't buy it because I grow lettuce in the summer and spring.,,0,0,
2,0,5352,565,2\nI really like the farm markets but I don't always have the time to go when they are open an running.,,0,1,same here. that's the biggest problem with farmer's markets - just getting them to fit in my schedule.
9,0,5352,549,"I would!
I would like to see a great deal of our communities food produced locally.  I believe that would gives better food and it would strengthen or community",,0,0,
0,0,5352,546,Wild Salmon from Whole foods,,0,0,
2,0,5352,545,Availability of locally sourced foods\nI would like to pick more that one item!,,0,0,
0,0,5352,544,Local market\nI go to a number of market depending on what the Items are.,,0,0,
2,0,4739,562,"I think anyone can be a 'locavore' because most people have an intuitive understanding of the value of eating local; it supports their local economy and is usually fresher, healthier and tastier. I definitely see myself as that type of person.",,0,0,
3,0,4739,561,Locally sourcing the majority of school cafeteria food\nThis is an excellent idea because it gets students thinking about local food in their everyday routine.,,0,0,
9,1,4739,560,"Absolutely, knowing how produce is grown and livestock are raised will help students make better decisions about what they eat. Greater opportunities for in-field learning would be a valuable addition to agricultural education.",,1,0,
7,0,4739,557,"There are plenty of benefits such as community building, decreased environmental impact from importing food, and improved access to healthy produce. We could partner community gardens with schools to make them educational as well as functional and increase their prevalence around the County.",,0,0,
0,0,4739,556,There's a One Tomato garden at the County administration building in Wyoming!,,0,0,
4,3,4739,555,One option is for Lisa and her family to participate in a community garden where she may pick produce as she needs it at no cost. The County could help people like Lisa by supporting expansion of community gardens to more neighbourhoods.,,3,0,
3,0,4739,551,A head of locally grown romaine lettuce (1.99)\nKnowing that my lettuce is fresh and locally grown makes it much more valuable to me because I know that my purchase supports the community.,,0,0,
0,0,4739,565,3,,0,0,
0,0,4739,549,"Absolutely, as long as I knew which farms the food was coming from and how it was grown/raised.",,0,0,
3,0,4739,546,"Raspberries, cherries and blueberries from Zekveld's market make an excellent fruit salad!",,0,0,
0,0,4739,545,Hours / schedule\nI usually go to places that are on my way home from work.,,0,0,
1,0,4739,544,Other (please indicate in comments),,0,0,
14,0,5022,562,"No, all kinds of people buy locally sourced foods.  The type of individual who buys local is a motivated and knowledgeable consumer, and one with a vested interest in their health and the well-being of the community.  I am that kind of a person - my husband and I have a farm background, and we like to support local farmers.  I also am a mother of 4 children, and tend to cook from scratch, for the best flavour, cost, and healthiness.  I don't buy pre-made meals like lasagne.  I cook meat bones to make homemade stock, and we don't use cake mixes, for example.  However, the cost of food and the need for convenience also factor into our purchases.",,0,0,
1,0,5022,561,"Tax incentives for farmers, distributors, and retailers who buy and sell local food.\nLocal farmers, like Zekveld's, have a hard time competing with foreign grown food, especially because of the cost of labourers.",,0,0,
1,0,5022,560,"Yes.  Children should be more aware of where the food on their plate comes from, and the effort behind it.",,0,0,
2,1,5022,557,Not everyone is equally committed to their share of the work.,,1,0,
1,0,5022,556,"I don't know the community gardens.  I live in rural Lambton county, and we do have gardens if we want one.",,0,0,
8,0,5022,555,"The Sarnia market is a wonderful opportunity to buy fresh produce at reasonable prices when food is in season (and there are ""seconds"" which are even cheaper).   IF...she has a freezer, she can process fresh food or even whole meals for use in the winter, which will also make meal preparation faster in the winter, with her busy schedule.  I always involved my children in processing food - they cranked the device that churned out applesauce, they ended the green beans, they picked strawberries, apples, raspberries and blueberries at U-pick farms, they pulled the husks and silks off cobs of corn and washed them in the kiddy pool...",,0,0,
0,0,5022,551,"A bag of imported, pre-washed romaine heads (1.99)\nConvenience.",,0,0,
0,0,5022,565,5 or more,,0,0,
9,0,5022,549,"I do purchase much of my produce from Zekveld's Garden Market, which is 2.5km from home, and on my way home from work.  Their seasonal produce is wonderful.  I would go there for fresh produce before the grocery store in Wyoming, only because I like to support independant small business owners.",,0,0,
0,1,5022,546,"Cabbage casserole; homemade using cabbage, onions and peppers sourced locally.",,1,0,
0,0,5022,545,Other,,0,0,
0,0,5022,544,Chain supermarket,,0,0,
0,0,5436,545,Availability of locally sourced foods,,0,0,
1,1,5436,544,"Grow/farm it yourself, Farmer's Market/CSA/Farm Share",http://communityplanit.org/assets/attachments/542/543/image.jpg,1,0,
0,0,5449,565,3,,0,0,
2,0,5449,549,I would purchase if the quality of products is competitive and organic. I would come mostly for vegetables fruits and milk products. ,,0,0,
0,0,5449,546,Grapes from a local market. ,,0,0,
0,0,5449,545,Proximity,,0,0,
1,0,5449,544,"Local market, Farmer's Market/CSA/Farm Share",,0,0,
4,0,5050,562,"Anyone who is paying attention purchases local food haha! And, yes, I see myself as that type of person. I also do what I can to spread the word!",,0,0,
