user_id,stake,race,gender,education,income,zip_code,birth_year,prior_participation,communication_with_government,worked_in_planning,coins,challenges_completed
4943,"Resident, Worker",White,Female,Bachelor's Degree,over $100k,10000,1974,n/a,"Yes, through personal meetings",n/a,110,56%
5352,Observer,White,Male,Master's Degree,n/a,95472,1947,Yes,"Yes, through personal meetings",n/a,150,100%
4739,Municipal Employee,Multiracial,Male,Master's Degree,$25k - $50k,10000,1990,Yes,Other,Yes,280,100%
5022,,,,,,,,n/a,,n/a,160,94%
5436,Resident,White,Female,Professional Degree,n/a,10000,1948,Yes,"Yes, by letter",Yes,20,12%
5449,Observer,White,Female,Master's Degree,n/a,5482,1984,No,No communication,No,70,38%
5050,,White,Female,Some College,n/a,10000,1954,Yes,"Yes, by email",Yes,280,100%
5621,,,,,,,,n/a,,n/a,10,6%
4888,,n/a,n/a,n/a,n/a,10000,2000,n/a,n/a,n/a,170,100%
5034,,,,,,,,n/a,,n/a,60,50%
5059,,,,,,,,n/a,,n/a,90,56%
5063,,White,Female,Some College,over $100k,10000,1957,No,"Yes, by email",Yes,240,100%
4927,,White,Female,Bachelor's Degree,$25k - $50k,10000,1990,No,No communication,Yes,140,100%
5079,,White,Female,Professional Degree,n/a,10000,1983,No,"Yes, by email",Yes,110,56%
4886,Resident,American Indian or Alaskan Native,Male,n/a,n/a,,1980,Yes,"Yes, through personal meetings",Yes,260,100%
5181,Resident,White,Female,High School or less,$50k - $75k,10000,1957,No,No communication,No,140,100%
5035,,White,Female,Some College,n/a,10000,1977,No,"Yes, by email",No,260,100%
5066,Student,White,Male,Bachelor's Degree,$50k - $75k,10000,1989,Yes,"Yes, by email",No,70,25%
4740,,White,Male,Professional Degree,over $100k,10000,1952,Yes,"Yes, through community meetings",No,140,100%
5438,,White,Female,Professional Degree,n/a,10000,1960,n/a,n/a,n/a,140,100%
5027,Resident,,,,,,,n/a,,n/a,110,62%
5439,Observer,White,Female,Some College,$50k - $75k,95319,1977,No,No communication,No,160,100%
5064,,n/a,Female,n/a,n/a,2130,2000,n/a,n/a,n/a,100,50%
5239,,White,Female,Bachelor's Degree,n/a,10000,1967,No,No communication,No,170,100%
5049,,,,,,,,n/a,,n/a,80,50%
5053,Resident,White,Male,Bachelor's Degree,over $100k,10000,1982,No,No communication,Yes,280,100%
5045,Resident,White,Female,Bachelor's Degree,n/a,10000,1970,No,No communication,n/a,290,100%
5033,Resident,White,Female,Some College,$25k - $50k,10000,1974,No,No communication,No,80,50%
4742,Municipal Employee,White,Female,Bachelor's Degree,$50k - $75k,10000,1988,Yes,No communication,n/a,300,100%
4887,Resident,White,Female,Bachelor's Degree,over $100k,10000,1967,Yes,"Yes, by phone",Yes,80,44%
5031,Resident,n/a,Female,Master's Degree,n/a,10000,1975,Yes,"Yes, through community meetings",Yes,380,100%
5044,"Farm Employee, Worker",White,Female,High School or less,n/a,10000,1968,No,No communication,No,180,100%
5175,,White,Female,Some College,$50k - $75k,10000,1954,No,No communication,No,120,100%
5611,,,,,,,,n/a,,n/a,10,6%
5313,Student,,,,,,,n/a,,n/a,20,12%
5020,,Asian,Female,Master's Degree,over $100k,10000,1965,No,No communication,No,140,100%
5048,,,,,,,,n/a,,n/a,110,75%
5043,,,,,,,,n/a,,n/a,150,81%
5068,Resident,n/a,n/a,n/a,n/a,10000,1980,No,n/a,n/a,160,100%
5097,Resident,White,Female,Some College,n/a,10000,1972,No,"Yes, through community meetings",Yes,160,100%
5065,,White,Female,Bachelor's Degree,$25k - $50k,10000,1979,Yes,"Yes, through community meetings",Yes,180,100%
4933,Resident,,,,,,,n/a,,n/a,20,12%
5039,,White,Female,Professional Degree,$50k - $75k,10000,1972,n/a,"Yes, through personal meetings",n/a,120,100%
4941,"Resident, Worker",White,Female,Professional Degree,n/a,10000,1955,No,"Yes, through personal meetings",Yes,150,100%
4629,,"Hispanic, Latino, or Spanish",n/a,High School or less,$50k - $75k,,2000,n/a,No communication,n/a,0,100%
5588,,,,,,,,n/a,,n/a,40,25%
5350,,,,,,,,n/a,,n/a,30,25%
4934,,,,,,,,n/a,,n/a,20,6%
4929,Resident,White,Male,Bachelor's Degree,$75k - $100k,10000,1963,Yes,"Yes, through community meetings",Yes,140,100%
4187,,,Female,,n/a,2130,1976,Yes,"Yes, by letter",Yes,30,19%
5353,,,,,,,,n/a,,n/a,140,94%
5029,Resident,n/a,Male,n/a,n/a,10000,1955,No,"Yes, through community meetings",Yes,160,100%
4935,,,,,,,,n/a,,n/a,70,38%
5061,Worker,White,Female,Associate's Degree,$75k - $100k,10000,1965,Yes,"Yes, through community meetings",Yes,130,75%
5598,Worker,White,Female,Bachelor's Degree,$50k - $75k,10000,1961,n/a,No communication,n/a,60,50%
5023,,White,Female,High School or less,n/a,10000,1955,Yes,No communication,No,140,100%
5143,Observer,Multiracial,Female,Master's Degree,$75k - $100k,11201,1978,Yes,"Yes, through social media",Yes,280,100%
