user_id,challenge_id,response,replies,comments_num,likes_num,score,comparative
0,0,russell is an awesome programmer who has fun working at his job,"this is great, this is terrible, this is indifference",1,3,8,0.6666666666666666
1,0,my favorite color is rainbow,this is stupid,3,7,2,0.4
2,0,I hate people who do mean things,,1,5,-3,-0.42857142857142855
3,0,russell is an awesome programmer who has fun working at his job,this is stupid,0,0,8,0.6666666666666666
4,0,onions are gross but I like them a lot,,4,7,0,0
5,0,my favorite color is rainbow,this is stupid,5,5,2,0.4
6,0,russell is an awesome programmer who has fun working at his job,"this is great, this is terrible, this is indifference",3,0,8,0.6666666666666666
7,0,I love the fluffy bunnies,this is stupid,2,3,3,0.6
8,0,onions are gross but I like them a lot,,4,5,0,0
9,0,russell is an awesome programmer who has fun working at his job,this is stupid,2,2,8,0.6666666666666666
10,0,I hate people who do mean things,,0,4,-3,-0.42857142857142855
11,0,maybe we should all decide to ride our bikes because they are a healthier option,this is stupid,0,5,0,0
12,0,this is the best place to eat hands down,"this is great, this is terrible, this is indifference",4,6,3,0.3333333333333333
13,0,I only go to the park to walk my dog on the weekends,this is stupid,3,1,0,0
14,0,russell is an awesome programmer who has fun working at his job,,4,1,8,0.6666666666666666
15,0,I love the fluffy bunnies,this is stupid,4,6,3,0.6
16,0,onions are gross but I like them a lot,"this is great, this is terrible, this is indifference",2,0,0,0
17,0,russell is an awesome programmer who has fun working at his job,this is stupid,5,2,8,0.6666666666666666
18,0,I hate people who do mean things,,1,4,-3,-0.42857142857142855
19,0,maybe we should all decide to ride our bikes because they are a healthier option,"this is great, this is terrible, this is indifference",5,7,0,0
20,0,this is the best place to eat hands down,this is stupid,2,3,3,0.3333333333333333
21,0,I only go to the park to walk my dog on the weekends,,0,1,0,0
22,0,russell is an awesome programmer who has fun working at his job,this is stupid,0,0,8,0.6666666666666666
23,0,onions are gross but I like them a lot,,5,5,0,0
24,0,my favorite color is rainbow,this is stupid,4,6,2,0.4
25,0,russell is an awesome programmer who has fun working at his job,"this is great, this is terrible, this is indifference",0,2,8,0.6666666666666666
26,0,I love the fluffy bunnies,this is stupid,1,1,3,0.6
27,0,onions are gross but I like them a lot,,4,6,0,0
28,0,russell is an awesome programmer who has fun working at his job,this is stupid,1,5,8,0.6666666666666666
29,0,I hate people who do mean things,,1,0,-3,-0.42857142857142855
30,0,I love the fluffy bunnies,this is stupid,4,4,3,0.6
31,0,maybe we should all decide to ride our bikes because they are a healthier option,"this is great, this is terrible, this is indifference",4,6,0,0
32,0,this is the best place to eat hands down,this is stupid,0,4,3,0.3333333333333333
33,0,I only go to the park to walk my dog on the weekends,,4,2,0,0
34,0,I love the fluffy bunnies,this is stupid,4,4,3,0.6
35,0,onions are gross but I like them a lot,"this is great, this is terrible, this is indifference",5,3,0,0
36,0,russell is an awesome programmer who has fun working at his job,this is stupid,2,1,8,0.6666666666666666
37,0,I hate people who do mean things,,2,1,-3,-0.42857142857142855
38,0,this is a neutral sentence that I just thought of right now.,,0,0,-2,-0.16666666666666666
39,0,what a great statement I think I agree but I am not sure,,5,4,4,0.3076923076923077
40,0,this is terrible I am not a fan of this idea at all ,,3,7,0,0
41,0,maybe we should all decide to ride our bikes because they are a healthier option,,2,4,0,0
42,0,I hate people who do mean things,,4,5,-3,-0.42857142857142855
43,0,this is a neutral sentence that I just thought of right now.,,3,7,-2,-0.16666666666666666
44,0,what a great statement I think I agree but I am not sure,,2,5,4,0.3076923076923077
45,0,this is terrible I am not a fan of this idea at all ,,2,4,0,0
46,0,maybe we should all decide to ride our bikes because they are a healthier option,,1,0,0,0
47,0,I hate people who do mean things,,5,2,-3,-0.42857142857142855
48,0,this is a neutral sentence that I just thought of right now.,,1,6,-2,-0.16666666666666666
49,0,what a great statement I think I agree but I am not sure,,0,2,4,0.3076923076923077
50,0,this is terrible I am not a fan of this idea at all ,,4,4,0,0
0,1,maybe we should all decide to ride our bikes because they are a healthier option,,3,4,0,0
1,1,I hate people who do mean things,,0,5,-3,-0.42857142857142855
2,1,this is a neutral sentence that I just thought of right now.,,3,4,-2,-0.16666666666666666
3,1,what a great statement I think I agree but I am not sure,,5,5,4,0.3076923076923077
4,1,this is terrible I am not a fan of this idea at all ,,4,3,0,0
5,1,maybe we should all decide to ride our bikes because they are a healthier option,,3,0,0,0
6,1,I hate people who do mean things,,4,2,-3,-0.42857142857142855
7,1,this is a neutral sentence that I just thought of right now.,,4,3,-2,-0.16666666666666666
8,1,what a great statement I think I agree but I am not sure,,1,6,4,0.3076923076923077
9,1,this is terrible I am not a fan of this idea at all ,,5,7,0,0
10,1,maybe we should all decide to ride our bikes because they are a healthier option,,1,4,0,0
11,1,I hate people who do mean things,,1,5,-3,-0.42857142857142855
12,1,this is a neutral sentence that I just thought of right now.,,1,1,-2,-0.16666666666666666
13,1,what a great statement I think I agree but I am not sure,,3,4,4,0.3076923076923077
14,1,this is terrible I am not a fan of this idea at all ,,0,4,0,0
15,1,maybe we should all decide to ride our bikes because they are a healthier option,,3,6,0,0
16,1,this is the best place to eat hands down,,1,2,3,0.3333333333333333
17,1,I only go to the park to walk my dog on the weekends,,4,7,0,0
18,1,maybe we should all decide to ride our bikes because they are a healthier option,,5,3,0,0
19,1,this is the best place to eat hands down,,1,0,3,0.3333333333333333
20,1,I only go to the park to walk my dog on the weekends,,2,3,0,0
21,1,maybe we should all decide to ride our bikes because they are a healthier option,,0,1,0,0
22,1,this is the best place to eat hands down,,1,0,3,0.3333333333333333
23,1,I only go to the park to walk my dog on the weekends,,1,5,0,0
24,1,maybe we should all decide to ride our bikes because they are a healthier option,,1,4,0,0
25,1,this is the best place to eat hands down,,2,5,3,0.3333333333333333
26,1,I only go to the park to walk my dog on the weekends,,5,6,0,0
27,1,onions are gross but I like them a lot,,1,7,0,0
28,1,my favorite color is rainbow,,5,4,2,0.4
29,1,russell is an awesome programmer who has fun working at his job,,0,1,8,0.6666666666666666
30,1,I love the fluffy bunnies,,2,1,3,0.6
31,1,onions are gross but I like them a lot,,2,3,0,0
32,1,russell is an awesome programmer who has fun working at his job,,3,5,8,0.6666666666666666
33,1,onions are gross but I like them a lot,,1,1,0,0
34,1,my favorite color is rainbow,,3,1,2,0.4
35,1,russell is an awesome programmer who has fun working at his job,,0,2,8,0.6666666666666666
