id,age,gender,race,income,stake,challenge,response,0,0,comments,comments,likes,challenge,response,0,0,comments,comments,likes
0,12,Male,white,$0 - $25000,Student,2334,This is pretty fun,5,1.25,I love this!\this is the worst thing ever,2,7,2346,I love you and I love this game,6,0.75,wondeful insight.\you have no idea what you are talking about.\best comment ever.,0,7
1,48,Unspecified,white,$0 - $25000,Worker,2334,I really hate mean people that are terrible,-6,-0.75,I love this!\this is the worst thing ever,1,1,2346,I love you and I love this game,6,0.75,wondeful insight.\you have no idea what you are talking about.\best comment ever.,0,6
2,34,Male,white,$0 - $25000,Teacher,2334,I really hate mean people that are terrible,-6,-0.75,I love this!\this is the worst thing ever,2,6,2346,One time I ate a disgusting sandwich,-3,-0.42857142857142855,wondeful insight.\you have no idea what you are talking about.\best comment ever.,4,7
3,33,Male,white,$0 - $25000,Worker,2334,I love awesome things are great,10,1.6666666666666667,I love this!\this is the worst thing ever,2,2,2346,I really hate mean people that are terrible,-6,-0.75,wondeful insight.\you have no idea what you are talking about.\best comment ever.,1,4
4,18,Male,white,$0 - $25000,Student,2334,Who are you?,0,0,I love this!\this is the worst thing ever,3,4,2346,One time I ate a disgusting sandwich,-3,-0.42857142857142855,wondeful insight.\you have no idea what you are talking about.\best comment ever.,3,0
5,55,Unspecified,white,$0 - $25000,Worker,2334,What the hell is going on here?,-4,-0.5714285714285714,I love this!\this is the worst thing ever,2,0,2346,I love you and I love this game,6,0.75,wondeful insight.\you have no idea what you are talking about.\best comment ever.,3,5
6,12,Male,white,$0 - $25000,Student,2334,This is pretty fun,5,1.25,I love this!\this is the worst thing ever,2,6,2346,What the hell is going on here?,-4,-0.5714285714285714,wondeful insight.\you have no idea what you are talking about.\best comment ever.,4,6
7,48,Unspecified,white,$0 - $25000,Worker,2334,I really hate mean people that are terrible,-6,-0.75,I love this!\this is the worst thing ever,1,4,2346,This is pretty fun,5,1.25,wondeful insight.\you have no idea what you are talking about.\best comment ever.,0,4
8,34,Male,white,$0 - $25000,Teacher,2334,I really hate mean people that are terrible,-6,-0.75,I love this!\this is the worst thing ever,2,0,2346,I really hate mean people that are terrible,-6,-0.75,wondeful insight.\you have no idea what you are talking about.\best comment ever.,4,3
9,33,Male,white,$0 - $25000,Worker,2334,I love awesome things are great,10,1.6666666666666667,I love this!\this is the worst thing ever,3,2,2346,One time I ate a disgusting sandwich,-3,-0.42857142857142855,wondeful insight.\you have no idea what you are talking about.\best comment ever.,2,7
10,18,Male,white,$0 - $25000,Student,2334,Who are you?,0,0,I love this!\this is the worst thing ever,1,5,2346,One time I ate a disgusting sandwich,-3,-0.42857142857142855,wondeful insight.\you have no idea what you are talking about.\best comment ever.,0,4
11,55,Unspecified,white,$0 - $25000,Worker,2334,What the hell is going on here?,-4,-0.5714285714285714,I love this!\this is the worst thing ever,2,5,2346,Who are you?,0,0,wondeful insight.\you have no idea what you are talking about.\best comment ever.,0,1
