user,age,gender,stake,response,score,comparative,comments,likes
0,12,Male,Student,This is pretty fun,5,1.25,0,0
1,48,Unspecified,Worker,Good bad ugly fat shit,-7,-1.4,0,0
2,34,Male,Teacher,Good bad ugly fat shit,-7,-1.4,0,4
3,33,Male,Worker,I love awesome things are great,10,1.666666667,0,0
4,18,Male,Student,Who are you?,0,0,0,0
5,55,Unspecified,Worker,What the fuck is going on,-4,-0.666666667,0,0
6,12,Male,Student,This is pretty fun,5,1.25,0,0
7,48,Unspecified,Worker,Good bad ugly fat shit,-7,-1.4,0,0
8,34,Male,Teacher,Good bad ugly fat shit,-7,-1.4,0,0
9,33,Male,Worker,I love awesome things are great,10,1.666666667,0,2
10,18,Male,Student,Who are you?,0,0,0,0
11,55,Unspecified,Worker,What the fuck is going on,-4,-0.666666667,0,0
12,12,Male,Student,This is pretty fun,5,1.25,0,0
13,48,Female,Worker,Good bad ugly fat shit,-7,-1.4,0,0
14,34,Male,Teacher,Good bad ugly fat shit,-7,-1.4,0,0
15,33,Male,Worker,I love awesome things are great,10,1.666666667,0,0
16,18,Male,Student,Who are you?,0,0,0,1
17,55,Female,Worker,What the fuck is going on,-4,-0.666666667,0,0
18,12,Male,Student,This is pretty fun,5,1.25,0,0
19,48,Female,Worker,Good bad ugly fat shit,-7,-1.4,0,1
20,34,Male,Teacher,Good bad ugly fat shit,-7,-1.4,0,0
21,33,Male,Worker,I love awesome things are great,10,1.666666667,0,0
22,18,Male,Student,Who are you?,0,0,0,0
23,55,Female,Worker,What the fuck is going on,-4,-0.666666667,1,0
24,12,Male,Student,This is pretty fun,5,1.25,0,0
25,48,Female,Worker,Good bad ugly fat shit,-7,-1.4,0,0
26,34,Male,Teacher,Good bad ugly fat shit,-7,-1.4,0,0
27,33,Male,Worker,I love awesome things are great,10,1.666666667,0,0
28,18,Male,Student,Who are you?,0,0,0,4
29,55,Female,Worker,What the fuck is going on,-4,-0.666666667,0,0
30,12,Male,Student,This is pretty fun,5,1.25,0,3
31,48,Female,Worker,Good bad ugly fat shit,-7,-1.4,0,0
32,34,Male,Teacher,Good bad ugly fat shit,-7,-1.4,0,0
33,33,Male,Worker,I love awesome things are great,10,1.666666667,0,0
34,18,Male,Student,Who are you?,0,0,0,4
35,55,Female,Worker,What the fuck is going on,-4,-0.666666667,0,2
36,12,Male,Student,This is pretty fun,5,1.25,0,0
37,48,Female,Worker,Good bad ugly fat shit,-7,-1.4,0,2
38,34,Male,Teacher,Good bad ugly fat shit,-7,-1.4,0,0
39,33,Male,Worker,I love awesome things are great,10,1.666666667,0,0
40,18,Male,Student,Who are you?,0,0,0,0
41,55,Female,Worker,What the fuck is going on,-4,-0.666666667,0,0
42,12,Male,Student,This is pretty fun,5,1.25,0,0
43,48,Female,Worker,Good bad ugly fat shit,-7,-1.4,0,3
44,34,Male,Teacher,Good bad ugly fat shit,-7,-1.4,0,0
