user_id,challenge_id,response,replies,comments_num,likes_num,score,comparative
0,0,onions are gross but I like them a lot,"this is great, this is terrible, this is indifference",3,5,0,0
1,0,my favorite color is rainbow,this is stupid,1,4,2,0.4
2,0,I hate people who do mean things,,0,3,-3,-0.42857142857142855
3,0,I love the fluffy bunnies,this is stupid,1,2,3,0.6
4,0,onions are gross but I like them a lot,,0,1,0,0
5,0,my favorite color is rainbow,this is stupid,1,1,2,0.4
6,0,I hate people who do mean things,"this is great, this is terrible, this is indifference",3,0,-3,-0.42857142857142855
7,0,I love the fluffy bunnies,this is stupid,1,0,3,0.6
8,0,onions are gross but I like them a lot,,0,0,0,0
9,0,my favorite color is rainbow,this is stupid,1,4,2,0.4
10,0,I hate people who do mean things,,0,3,-3,-0.42857142857142855
11,0,I love the fluffy bunnies,this is stupid,1,0,3,0.6
12,0,onions are gross but I like them a lot,"this is great, this is terrible, this is indifference",3,0,0,0
13,0,my favorite color is rainbow,this is stupid,1,1,2,0.4
14,0,I hate people who do mean things,,0,0,-3,-0.42857142857142855
15,0,I love the fluffy bunnies,this is stupid,1,3,3,0.6
16,0,onions are gross but I like them a lot,"this is great, this is terrible, this is indifference",3,2,0,0
17,0,my favorite color is rainbow,this is stupid,1,0,2,0.4
18,0,I hate people who do mean things,,0,1,-3,-0.42857142857142855
0,1,I love the fluffy bunnies,this is stupid,1,2,3,0.6
1,1,onions are gross but I like them a lot,"this is great, this is terrible, this is indifference",3,3,0,0
2,1,my favorite color is rainbow,this is stupid,1,1,2,0.4
3,1,I hate people who do mean things,,0,3,-3,-0.42857142857142855
4,1,I love the fluffy bunnies,this is stupid,1,2,3,0.6
5,1,onions are gross but I like them a lot,"this is great, this is terrible, this is indifference",3,0,0,0
6,1,my favorite color is rainbow,this is stupid,1,0,2,0.4
7,1,I hate people who do mean things,,0,0,-3,-0.42857142857142855
8,1,I love the fluffy bunnies,this is stupid,1,1,3,0.6
9,1,onions are gross but I like them a lot,"this is great, this is terrible, this is indifference",3,1,0,0
