user_id,stake,race,gender,education,income,zip_code,birth_year,prior_participation,communication_with_government,worked_in_planning,coins,challenges_completed
3653,Student,,,,,,,n/a,,n/a,380,27%
3344,resident,White,Male,Master's Degree,$50k - $75k,19143,1983,No,No communication,No,1200,67%
3458,Business Owner,,,,,,,n/a,,n/a,100,8%
3546,,White,Male,Doctoral Degree,$75k - $100k,19104,1984,Yes,No communication,Yes,510,33%
3654,Student,,,,,,,n/a,,n/a,450,29%
3718,resident,White,Female,Some College,$50k - $75k,19143,1989,No,"Yes, by email",Yes,630,33%
3630,Student,Black or African American,Male,High School or less,$25k - $50k,19143,1996,Yes,"Yes, by phone",No,440,33%
2772,Volunteer,n/a,Male,Master's Degree,n/a,19143,1971,Yes,"Yes, through community meetings",Yes,190,35%
3520,Educator,White,Female,Master's Degree,over $100k,19147,1974,No,"Yes, by email",Yes,1090,67%
2650,Observer,White,Female,Master's Degree,$50k - $75k,19127,1975,Yes,"Yes, by email",Yes,270,33%
2347,worker,White,Female,Bachelor's Degree,$25k - $50k,,1990,n/a,"Yes, by email",n/a,1290,98%
2630,resident,White,Female,Doctoral Degree,$50k - $75k,19104,1985,No,"Yes, through community meetings",Yes,260,35%
3696,,White,Male,Bachelor's Degree,$75k - $100k,19143,1980,Yes,"Yes, by phone",Yes,320,17%
3532,"Community Organizer or Activist, Religious Leader, worker","Hispanic, Latino, or Spanish",Female,Doctoral Degree,n/a,19143,2000,Yes,"Yes, through community meetings",Yes,1040,67%
3599,"Community Organizer or Activist, Religious Leader",,,,,,,n/a,,n/a,150,12%
2878,Student,White,Female,Bachelor's Degree,$50k - $75k,19104,1988,No,No communication,Yes,290,40%
2448,,White,Female,Master's Degree,over $100k,19123,1975,Yes,No communication,Yes,250,33%
2354,Observer,White,Female,Master's Degree,,,1979,n/a,"Yes, through personal meetings",n/a,490,52%
3011,resident,White,Female,Bachelor's Degree,n/a,19143,1978,Yes,"Yes, through community meetings",Yes,1520,100%
3580,Observer,,,,,,,n/a,,n/a,20,2%
2947,,,,,,,,n/a,,n/a,90,19%
3489,worker,n/a,Male,Bachelor's Degree,n/a,19104,1984,No,No communication,n/a,250,17%
2776,,White,Male,Master's Degree,$50k - $75k,19143,1980,Yes,"Yes, through personal meetings",Yes,240,33%
2258,,White,Male,Doctoral Degree,,,1951,n/a,,n/a,1290,100%
3666,resident,"Hispanic, Latino, or Spanish",Male,High School or less,n/a,19143,1997,Yes,n/a,n/a,650,33%
3248,resident,Other,Male,Master's Degree,$75k - $100k,19143,1979,No,"Yes, through social media",Yes,200,33%
2722,,,,,,,,n/a,,n/a,10,2%
2920,Observer,White,Male,Bachelor's Degree,$25k - $50k,19147,2000,Yes,"Yes, through social media",Yes,230,25%
2730,Observer,White,Female,Master's Degree,over $100k,08323,1950,Yes,"Yes, through personal meetings",Yes,10,2%
2876,,,,,,,,n/a,,n/a,90,10%
3634,,,,,,,,n/a,,n/a,90,6%
3082,Volunteer,Black or African American,Female,Associate's Degree,$25k - $50k,19050,1965,Yes,"Yes, by email",Yes,1100,67%
3695,,White,Female,Bachelor's Degree,n/a,19143,1970,No,"Yes, by email",Yes,90,6%
2990,Community Organizer or Activist,White,Male,Bachelor's Degree,$50k - $75k,19101,1946,Yes,"Yes, by letter",Yes,1280,100%
2759,"Community Organizer or Activist, resident, worker",White,Female,Bachelor's Degree,$50k - $75k,19143,1989,Yes,"Yes, by letter",Yes,60,6%
3270,resident,White,Female,Bachelor's Degree,$75k - $100k,19143,1985,No,"Yes, by email",Yes,1060,71%
3001,Student,n/a,n/a,n/a,n/a,19143,2000,n/a,n/a,n/a,140,33%
2430,Educator,White,Male,Doctoral Degree,$75k - $100k,19008,1953,No,"Yes, by email",Yes,790,54%
2436,Observer,White,Male,Some College,$75k - $100k,,1964,Yes,"Yes, through personal meetings",No,930,67%
3396,Student,,,,,,,n/a,,n/a,20,2%
3504,,White,Male,Bachelor's Degree,$25k - $50k,48912,1988,Yes,"Yes, by email",Yes,520,33%
2358,worker,,Female,Professional Degree,$50k - $75k,,1982,n/a,"Yes, by email",n/a,1350,79%
3566,Educator,White,Female,Master's Degree,n/a,19104,1970,Yes,"Yes, by phone",Yes,450,33%
3629,,,,,,,,n/a,,n/a,320,21%
2685,Community Organizer or Activist,Black or African American,Female,Some College,$25k - $50k,19143,1955,No,"Yes, through community meetings",Yes,650,42%
3656,"Educator, Student",,,,,,,n/a,,n/a,530,29%
3665,Student,Black or African American,Male,High School or less,n/a,19138,1997,No,No communication,No,650,33%
2973,,White,Male,Bachelor's Degree,$50k - $75k,19143,1983,No,"Yes, by email",No,40,4%
3227,resident,White,Male,Master's Degree,$75k - $100k,19104,1981,Yes,"Yes, by email",n/a,1010,67%
2362,Observer,White,Female,Master's Degree,over $100k,19145,1980,Yes,"Yes, by email",Yes,720,50%
3624,Student,,,,,,,n/a,,n/a,30,2%
3223,"resident, Student, worker",White,Male,Master's Degree,$25k - $50k,19104,1988,Yes,"Yes, through personal meetings",No,220,33%
2333,,White,Male,Master's Degree,,,1976,n/a,"Yes, by email",n/a,1230,100%
2806,Community Organizer or Activist,Black or African American,Female,Master's Degree,$75k - $100k,19143,1983,Yes,"Yes, through community meetings",No,1590,100%
3578,resident,Black or African American,Female,Bachelor's Degree,n/a,19143,1985,Yes,"Yes, through community meetings",Yes,420,33%
2401,"Community Organizer or Activist, resident, Student, Volunteer",White,Female,Bachelor's Degree,$50k - $75k,,1993,Yes,"Yes, through social media",Yes,1300,100%
2642,,n/a,Male,Master's Degree,over $100k,19130,1977,Yes,No communication,No,360,40%
3343,resident,,,,,,,n/a,,n/a,200,17%
3250,worker,White,Female,Master's Degree,$50k - $75k,19147,1984,Yes,"Yes, through community meetings",No,130,25%
2881,resident,White,Female,Doctoral Degree,n/a,19139,1969,Yes,"Yes, by email",Yes,1520,100%
2803,,White,Male,Some College,n/a,19002,1991,No,No communication,No,10,2%
3701,Student,,,,,,,n/a,,n/a,260,17%
3649,,Black or African American,Male,High School or less,n/a,19142,1998,n/a,n/a,n/a,470,33%
2322,resident,White,Female,Some College,,,1939,n/a,"Yes, by phone",n/a,1380,100%
3713,"Community Organizer or Activist, resident",Multiracial,n/a,Bachelor's Degree,$50k - $75k,19143,1986,No,"Yes, through community meetings",Yes,60,4%
2786,resident,Multiracial,Female,Bachelor's Degree,$50k - $75k,19143,1969,No,"Yes, by email",No,250,33%
3668,Student,Black or African American,Male,High School or less,n/a,19151,1996,No,No communication,No,690,33%
2364,Observer,White,Male,Bachelor's Degree,over $100k,19146,1976,n/a,"Yes, by email",n/a,1590,100%
3587,,White,Female,Master's Degree,$75k - $100k,19119,1957,Yes,"Yes, through personal meetings",No,640,33%
3543,,,,,,,,n/a,,n/a,20,2%
3691,Community Organizer or Activist,White,Male,Master's Degree,over $100k,08109,1985,No,"Yes, by email",n/a,440,27%
3625,,,,,,,,n/a,,n/a,30,2%
2270,worker,White,Female,Bachelor's Degree,$50k - $75k,19119,1978,No,"Yes, through social media",No,1100,67%
2251,resident,White,Male,Doctoral Degree,$50k - $75k,19104,1952,Yes,"Yes, through personal meetings",Yes,1380,100%
2342,resident,White,Female,Bachelor's Degree,over $100k,19104,1978,No,"Yes, by email",Yes,1220,96%
3709,,Asian,Male,Master's Degree,over $100k,19143,1967,No,"Yes, through community meetings",n/a,630,33%
3390,resident,White,Male,Bachelor's Degree,over $100k,19143,1975,No,"Yes, by email",No,510,33%
3452,,,,,,,,n/a,,n/a,20,2%
2367,"resident, Volunteer, worker",n/a,Female,Doctoral Degree,n/a,19143,1949,No,"Yes, by letter",Yes,220,33%
3289,,White,Male,Bachelor's Degree,$50k - $75k,19104,1982,Yes,"Yes, through community meetings",Yes,580,33%
2648,"Educator, Student",White,Male,Bachelor's Degree,$50k - $75k,19104,1985,n/a,"Yes, through community meetings",n/a,710,46%
3319,Business Owner,White,Male,Master's Degree,$50k - $75k,19104,1955,Yes,"Yes, by letter",Yes,530,33%
3538,resident,Multiracial,Female,Some College,$50k - $75k,19143,1974,Yes,"Yes, by phone",Yes,440,29%
2359,resident,White,Female,Master's Degree,$25k - $50k,19143,1984,Yes,"Yes, by email",No,320,44%
3685,,,,,,,,n/a,,n/a,110,8%
2708,"resident, worker",White,Male,Doctoral Degree,over $100k,19146,1976,No,"Yes, by email",No,20,4%
3586,resident,White,Male,Bachelor's Degree,over $100k,19104,1973,Yes,"Yes, through personal meetings",Yes,610,33%
2717,Educator,,,,,,,n/a,,n/a,70,12%
3593,,White,Female,Bachelor's Degree,$25k - $50k,19143,1986,No,"Yes, by email",No,630,33%
2346,resident,White,Female,Master's Degree,$50k - $75k,19139,1984,No,"Yes, by email",Yes,1310,100%
3245,"Community Organizer or Activist, Educator, resident",White,Female,Bachelor's Degree,$25k - $50k,19104,1988,No,"Yes, by phone",Yes,200,33%
3705,Observer,White,Female,Master's Degree,n/a,19104,1979,No,No communication,No,330,21%
2336,Educator,,,,,,,n/a,,n/a,10,2%
3387,"resident, Student",White,Male,Master's Degree,$50k - $75k,19143,1989,No,"Yes, by letter",No,100,8%
3716,Community Organizer or Activist,White,Female,Doctoral Degree,n/a,19143,2000,Yes,"Yes, by letter",Yes,450,33%
2277,resident,White,Female,Bachelor's Degree,$25k - $50k,,1982,n/a,"Yes, through community meetings",n/a,40,4%
2378,Observer,White,Female,Master's Degree,$50k - $75k,19128,1974,Yes,"Yes, through personal meetings",Yes,170,31%
2250,,White,Female,Bachelor's Degree,$25k - $50k,,1983,n/a,No communication,n/a,200,33%
2921,"Community Organizer or Activist, resident",,,,,,,n/a,,n/a,340,35%
2392,Student,White,Female,Master's Degree,$50k - $75k,19104,1989,Yes,No communication,No,260,33%
3255,,,,,,,,n/a,,n/a,30,4%
3525,Observer,White,Male,Bachelor's Degree,over $100k,19145,1977,Yes,"Yes, by email",Yes,200,17%
3437,Student,,,,,,,n/a,,n/a,160,17%
3659,,Black or African American,Male,High School or less,n/a,1951,2000,Yes,No communication,Yes,390,23%
