user_id,stake,race,gender,education,income,zip_code,birth_year,how_discovered,prior_participation,communication_with_government,worked_in_planning,goal_in_playing,coins,challenges_completed
3398,Business Owner,White,Female,Master's Degree,$75k - $100k,19143,1971,From a local blog,No,No communication,No,Meet other people in my community,290,33%
3319,Business Owner,White,Male,Master's Degree,$50k - $75k,19104,1955,From an organization (i.e. boys and girls club),Yes,"Yes, by letter",Yes,Haven't thought about it,530,33%
2403,Business Owner,unspecified,Male,Bachelor's Degree,$25k - $50k,,1988,From an organization (i.e. boys and girls club),No,No communication,No,Haven't thought about it,350,48%
2750,Business Owner,White,Male,Some College,$25k - $50k,19143,1959,From the city,Yes,"Yes, by email",Yes,Haven't thought about it,60,10%
3458,Business Owner,,,,,,,,unspecified,,unspecified,,100,8%
2244,"Business Owner, Community Organizer or Activist, Resident",White,Male,Some College,$25k - $50k,,1973,From the city,unspecified,"Yes, through community meetings",unspecified,,590,44%
3702,"Business Owner, Resident, Volunteer, Worker","Hispanic, Latino, or Spanish",Male,Bachelor's Degree,$75k - $100k,19143,1970,From a friend,Yes,No communication,No,Share my ideas about how to change my community,540,31%
3577,"Business Owner, Resident, Worker",White,Female,Bachelor's Degree,$75k - $100k,19104,1961,From an organization (i.e. boys and girls club),No,"Yes, by email",Yes,Share my ideas about how to change my community,510,50%
3691,Community Organizer or Activist,White,Male,Master's Degree,over $100k,8109,1985,From a local blog,No,"Yes, by email",unspecified,Share my ideas about how to change my community,440,27%
3463,Community Organizer or Activist,White,Male,Bachelor's Degree,over $100k,19146,1978,From a local blog,Yes,"Yes, through community meetings",Yes,Haven't thought about it,20,2%
3716,Community Organizer or Activist,White,Female,Doctoral Degree,unspecified,19143,2000,From an organization (i.e. boys and girls club),Yes,"Yes, by letter",Yes,Share my ideas about how to change my community,450,33%
2806,Community Organizer or Activist,Black or African American,Female,Master's Degree,$75k - $100k,19143,1983,From an organization (i.e. boys and girls club),Yes,"Yes, through community meetings",No,Share my ideas about how to change my community,1590,100%
2744,Community Organizer or Activist,White,Female,Master's Degree,$75k - $100k,19129,1980,From a local blog,Yes,"Yes, through community meetings",Yes,Share my ideas about how to change my community,300,33%
2269,Community Organizer or Activist,Black or African American,Female,Associate's Degree,$50k - $75k,19104,1955,From the city,Yes,"Yes, through personal meetings",Yes,Share my ideas about how to change my community,390,54%
2990,Community Organizer or Activist,White,Male,Bachelor's Degree,$50k - $75k,19101,1946,From the city,Yes,"Yes, by letter",Yes,Share my ideas about how to change my community,1280,100%
3274,Community Organizer or Activist,White,Female,Bachelor's Degree,$50k - $75k,19143,1984,From the city,Yes,"Yes, through community meetings",Yes,Share my ideas about how to change my community,210,33%
2283,Community Organizer or Activist,White,,Bachelor's Degree,$50k - $75k,,1989,From the city,unspecified,"Yes, by email",unspecified,Share my ideas about how to change my community,920,100%
2777,Community Organizer or Activist,White,Female,Bachelor's Degree,$50k - $75k,19125,1988,From a local blog,Yes,"Yes, by letter",Yes,Connect with decision makers,1100,85%
2685,Community Organizer or Activist,Black or African American,Female,Some College,$25k - $50k,19143,1955,From the city,No,"Yes, through community meetings",Yes,Share my ideas about how to change my community,650,42%
2943,Community Organizer or Activist,White,Male,Professional Degree,$25k - $50k,19143,1948,From an organization (i.e. boys and girls club),Yes,"Yes, by letter",Yes,Share my ideas about how to change my community,20,4%
2610,Community Organizer or Activist,White,unspecified,Bachelor's Degree,$25k - $50k,19104,1984,From an organization (i.e. boys and girls club),Yes,No communication,Yes,Share my ideas about how to change my community,820,79%
2683,Community Organizer or Activist,,,,,,,,unspecified,,unspecified,,40,4%
2796,Community Organizer or Activist,,,,,,,,unspecified,,unspecified,,80,12%
2767,Community Organizer or Activist,,,,,,,,unspecified,,unspecified,,100,12%
3332,Community Organizer or Activist,,,,,,,,unspecified,,unspecified,,20,2%
2446,Community Organizer or Activist,,,,,,,,unspecified,,unspecified,,20,2%
3715,Community Organizer or Activist,,,,,,,,unspecified,,unspecified,,140,10%
2949,Community Organizer or Activist,,,,,,,,unspecified,,unspecified,,210,17%
3689,Community Organizer or Activist,,,,,,,,unspecified,,unspecified,,120,8%
2972,"Community Organizer or Activist, Educator, Resident",Multiracial,Female,Master's Degree,$25k - $50k,19143,1985,From a friend,No,"Yes, by email",Yes,Share my ideas about how to change my community,200,27%
3245,"Community Organizer or Activist, Educator, Resident",White,Female,Bachelor's Degree,$25k - $50k,19104,1988,From an organization (i.e. boys and girls club),No,"Yes, by phone",Yes,Share my ideas about how to change my community,200,33%
2762,"Community Organizer or Activist, Educator, Observer, Religious Leader, Student, Volunteer",Black or African American,Male,High School or less,unspecified,19142,1996,From a local blog,No,No communication,Yes,Share my ideas about how to change my community,50,8%
2438,"Community Organizer or Activist, Resident",White,Male,Bachelor's Degree,$75k - $100k,19104,1965,From an organization (i.e. boys and girls club),Yes,Other,Yes,Share my ideas about how to change my community,1140,67%
2754,"Community Organizer or Activist, Resident",White,Male,Master's Degree,$75k - $100k,19143,1975,From an organization (i.e. boys and girls club),No,"Yes, by phone",Yes,Share my ideas about how to change my community,930,67%
3713,"Community Organizer or Activist, Resident",Multiracial,unspecified,Bachelor's Degree,$50k - $75k,19143,1986,From a friend,No,"Yes, through community meetings",Yes,Connect with decision makers,60,4%
2921,"Community Organizer or Activist, Resident",,,,,,,,unspecified,,unspecified,,340,35%
2401,"Community Organizer or Activist, Resident, Student, Volunteer",White,Female,Bachelor's Degree,$50k - $75k,,1993,From an organization (i.e. boys and girls club),Yes,"Yes, through social media",Yes,Learn about issues in my community,1300,100%
2675,"Community Organizer or Activist, Resident, Volunteer",unspecified,Female,Master's Degree,unspecified,19143,2000,From a friend,unspecified,"Yes, by email",Yes,Learn about issues in my community,1580,100%
3425,"Community Organizer or Activist, Resident, Volunteer",unspecified,unspecified,unspecified,unspecified,19142,1952,From a friend,Yes,Other,Yes,Share my ideas about how to change my community,970,67%
2590,"Community Organizer or Activist, Resident, Volunteer",White,Male,Bachelor's Degree,$50k - $75k,19143,1985,From an organization (i.e. boys and girls club),No,"Yes, by phone",unspecified,Share my ideas about how to change my community,1160,85%
2363,"Community Organizer or Activist, Resident, Volunteer",White,Male,Master's Degree,$50k - $75k,19104,1981,From the city,Yes,unspecified,Yes,Haven't thought about it,140,29%
2773,"Community Organizer or Activist, Resident, Volunteer, Worker",White,Male,Bachelor's Degree,$25k - $50k,19104,1963,From a friend,Yes,"Yes, through community meetings",Yes,Connect with decision makers,180,29%
2759,"Community Organizer or Activist, Resident, Worker",White,Female,Bachelor's Degree,$50k - $75k,19143,1989,From the city,Yes,"Yes, by letter",Yes,Share my ideas about how to change my community,60,6%
2309,"Community Organizer or Activist, Resident, Worker",White,Male,Bachelor's Degree,$50k - $75k,19104,1986,From an organization (i.e. boys and girls club),Yes,"Yes, by email",No,Learn about issues in my community,210,33%
3599,"Community Organizer or Activist, Religious Leader",,,,,,,,unspecified,,unspecified,,150,12%
3532,"Community Organizer or Activist, Religious Leader, Worker","Hispanic, Latino, or Spanish",Female,Doctoral Degree,unspecified,19143,2000,From the city,Yes,"Yes, through community meetings",Yes,Share my ideas about how to change my community,1040,67%
3520,Educator,White,Female,Master's Degree,over $100k,19147,1974,From a local blog,No,"Yes, by email",Yes,Haven't thought about it,1090,67%
3219,Educator,White,Male,Master's Degree,over $100k,19118,1952,From the city,Yes,"Yes, by email",unspecified,Connect with decision makers,160,33%
