score,comparative,popular,user_id,challenge_id,response,likes_num,replies_num,replies
0,0,0,3653,195,"A new park along the Schuylkill River near Bartram's garden\npeople can sit, play and relax and look at the river",0,0,
0,0,0,3653,173,"[[[39.900908939600114, -75.30751901245117]]]\nvbvmhjbmh",0,0,
0,0,0,3653,175,gcvcvcvn,0,0,
0,0,0,3653,179,"I do most of my shopping locally on foot, by bike, or on the trolley\nI mostly walk to the stores that i need to go to.",0,0,
0,0,0,3653,174,vvghvg,0,0,
0,0,0,3653,288,"Redesigning Myers Recreation Center to include more space to walk, sit, and for kids to play\ni choose C",0,0,
2,0.666666667,0,3653,177,"
something like this",0,0,
4,0.25,0,3653,283,None of these would encourage me to bycicle in the city\nI don't really like riding bikes,0,0,
0,0,0,3653,184,Removing the right lane of parking on Chestnut Street from 40th to the river to create separate bus and bike lanes\nThere would be more space for the buses and maybe less traffic.,0,0,
0,0,1,3653,182,Yes\ngvjhvcdcfc,1,0,
6,0.113207547,0,3344,285,"Drexel Park, Penn Park\nI have watched the fireworks from Drexel Park (always wishing that the trees were a bit bigger already) and have run and played sports at Penn Park. They are both great resources. Shoemaker Green and Spruce Street Plaza are positioned near and better suited for students and HUP employees/patients respectively.",0,0,
6,0.146341463,0,3344,195,"A redesigned 40th Street trolley portal with trees, seating, and a cafe\nI chose 40th Street portal, because it will impact the greatest number of people on a regular basis. The plan put forth by UCD is a really great concept. http://planphilly.com/articles/2012/11/14/university-city-district-will-make-40th-street-trolley-portal-pedestrian-friendly",0,0,
2,0.076923077,1,3344,197,"[[[39.95558820247942, -75.18205600357055]], [[39.95284129512239, -75.19200163459777]], [[39.949938006651806, -75.20342784500122]], [[39.95854881740725, -75.21410303688049]], [[39.94797225412925, -75.22332983589172]]]\nLinking bikeshare to existing mass transit options would be the most useful way to implement the program.",1,0,
4,0.05,1,3344,175,"These developments sound like they could have a very positive impact for that particular region, but will probably have a neutral impact on Lancaster Ave, which is fairly isolated from that shopping strip. More work would need to be done to connect the two commercial strips in order for there to be a residual effect. Lancaster Ave will attract Drexel students from campus and nearby housing and more work needs to be done to attract stores and in-fill empty storefronts.",1,0,
-1,-0.013513514,0,3344,179,"I do most of my shopping locally on foot, by bike, or on the trolley\nI live near (and am fortunate to be able to afford) Mariposa food Coop for my day-to-day grocery needs, which cuts down on my need for drives to the grocery store. Unfortunately, as a new homeowner there is no way for me to avoid the majority of shopping trips that require a car/truck for building supplies and large home supplies.",0,0,
0,0,0,3344,173,"[[[39.954782235111374, -75.20859914398193]]]\nI was not aware of any concerns about single family home availability in the area.",0,0,
16,0.158415842,2,3344,174,"This would have a marvelous affect! This is exactly the kind of zoning that should be in place in that region. Businesses should be encouraged to utilize existing building stock, if possible and further in-fill could be encouraged through favorable tax schemes. The affect would be a change from inaccessible, blighted space to an exciting business district that is already very accessible via public transit and vehicular transit (via 76 and Grays Ferry). Increased access to the riverfront would also encourage more use of the area for recreation. All of this would increase property values and decrease blight in the area.",2,0,
