score,popular,user_id,challenge_id,response,media,likes_num,replies_num,replies
0,0,2859,118,"[[[42.51404456505843, -70.88874595737457]]] \ nporque en el parque que iban a ver un montón de gente caminando y niños jugando y corriendo.",,0,0,
0,0,2859,116,"CyberSpace Salem, dentro y fuera del ciberespacio",,0,0,
3,2,2859,115,"así que me siento bien con el punto, porque es mi ciudad natal.",,2,0,
-1,0,3206,122,"Charles está mal, él es creer los rumores de que la gente fuera de The Point están diciendo o escuchando. El punto es en realidad un barrio agradable, sólo tienes que no sea tímido y mezclarse con la gente. La razón por la que la gente en el punto de saber acerca de todos los miembros de The Point, por lo que si un extraño, sino que toma un tiempo para que se abran a usted.",,0,0,
0,0,3206,118,"[[[42,5135305201404, -70,89001732444763]]]",,0,0,
4,0,3206,116,Me gustaría añadir una imagen de la cancha de baloncesto con personas que tienen diversión el jugar pelota.,,0,0,
2,0,3206,115,Amistoso,,0,0,
0,5,2746,125,"Salir a cenar, los productos de consumo (por ejemplo, ropa), culturales, sociales, de entretenimiento \ nNo hay algunas tiendas de ropa realmente únicos. Además, cada vez que la gente me ha dicho que he ido a comer / en el punto, he disfrutado mucho.",,4,1,"Tiendas de ropa únicas son tan divertido! He recibido algunas telas raras y asequible, por ejemplo, a las empresas dirigidas por inmigrantes de otras ciudades."
4,0,2746,122,"Charles está mal porque el punto, ya que la gente ha señalado, contiene comunidad, la arquitectura, los parques, las playas, los paisajes, la diversidad, etc Vale la pena ver un área de Salem que se está formando con el tiempo.



Charles tiene razón en que ""no es digno de visitar"" porque el punto puede ser displicente en ocasiones debido a las personas y / o áreas menos atractivas, pero usted encontrará que prácticamente en cualquier lugar.



En última instancia, creo que todo el mundo debería tomar tiempo para visitar el Punto. Es un área interesante.",,0,0,
6,0,2746,118,"[[[42.514539, -70.889164]]] \ nI comenzaría cerca de la playa y terminar con un puerto de Sweet. Me gustaría destacar los aspectos positivos, mientras que tomando nota de las piezas que pueden mejorarse y cómo esto sería posible.",,0,0,
0,0,2746,116,Un paisaje que muestra el retrato de 360 ​​viviendas cerca a lo largo de la costa y la costa.,,0,0,
0,0,2746,115,loco,,0,0,
-1,0,2902,144,"Pues lo que veo no hay una gran cantidad de puestos de trabajo allí, pero trabaja para un supermercado. Así que creo que es probablemente difícil de hacer dinero.",,0,0,
-2,0,2902,170,Buena \ Nbecause que escuchar lo que todo el mundo tiene que escuchar y tratar de solucionar ese problema.,,0,0,
2,0,2902,141,"Bueno, todo el mundo en el momento es amable people.I ver a la gente siempre con amigos",,0,0,
-3,0,2902,138,"Bueno, yo realmente no han escuchado que pase algo malo o que ocurrió en el punto.",,0,0,
4,0,2902,139,"[[[42.514052473400696, -70.88947015380859]]] \ nI elegir este lugar porque es donde los residentes punto de ir a muchos y divertirse y donde conocer gente.",,0,0,
7,1,2902,137,"Creo que un residente punto se acercaba a un supermercado a comprar comida, grapas, pasta de dientes, etc, porque cada vez que voy a un supermercado que iba a encontrar allí todo lo que quiero.",,1,0,
