score,popular,user_id,challenge_id,response,media,likes_num,replies_num,replies
0,0,2859,118,"[[[42.51404456505843, -70.88874595737457]]]\nbecause in the park they would see a lot of people walking and kids playing and running around.",,0,0,
0,0,2859,116,"Salem CyberSpace, the inside and outside of CyberSpace",,0,0,
3,2,2859,115,well i feel good about the point because its my hometown.,,2,0,
-1,0,3206,122,"Charles is wrong, he is believing rumors that people outside of The Point are saying or hearing. The Point is actually a friendly neighborhood, you just have to not be shy and mingle with people. The reason why is the people in The Point know about everyone in The Point, so if you an outsider; it takes a while for them to open up to you. ",,0,0,
0,0,3206,118,"[[[42.5135305201404, -70.89001732444763]]]",,0,0,
4,0,3206,116,I would upload a picture of the basketball court with people having fun playing ball. ,,0,0,
2,0,3206,115,Friendly ,,0,0,
0,5,2746,125,"Dining out, Consumer products (e.g., clothes), Cultural, social, entertainment\nThere are some really unique clothing stores. Also, any time people have told me they've gone to eat/out in the Point, they've really enjoyed it.",,4,1,"Unique clothing stores are so much fun! I've gotten some rare and affordable fabrics, for example, at immigrant-run businesses in other cities."
4,0,2746,122,"Charles is wrong because the Point, as people have pointed out, contains community, architecture, parks, beaches, landscapes, diversity, etc. It is worth seeing an area of Salem that is being shaped over time. 
Charles is right that it is ""not worth visiting"" because the point can be unwelcoming at times due to people and/or less attractive areas, but you find that practically anywhere. 
Ultimately, I think everyone should take time to visit the Point. It is an interesting area. ",,0,0,
6,0,2746,118,"[[[42.514539, -70.889164]]]\nI would start near the beach and end with a Harbor Sweet. I'd point out the positive aspects, while making note of parts that could be improved upon and how this would be possible.",,0,0,
0,0,2746,116,A 360 landscape portrait showing the housing near along the shoreline and the shoreline.,,0,0,
0,0,2746,115,distraught,,0,0,
-1,0,2902,144,Well what i see there are not a lot of jobs there but working for a supermarket. So I think its probably hard to make money.,,0,0,
-2,0,2902,170,Good\nBecause they hear what everybody has to hear and they try to fix that problem.,,0,0,
2,0,2902,141,Well everybody in the point are friendly people.I see people there always with friends,,0,0,
-3,0,2902,138,Well i haven't really heard anything bad happening or happened  in the point.,,0,0,
4,0,2902,139,"[[[42.514052473400696, -70.88947015380859]]]\nI choose this place because that's where the point residents go to a lot and have fun and where people meet.",,0,0,
7,1,2902,137,"I think a point resident would go near a super market to get food, staples, tooth paste, etc because every time I go to a super market I would find everything I want there.",,1,0,
0,2,2902,133,"[[[42.514147373524885, -70.89148717498779]]]",,2,0,
1,2,2902,132,I agree because i do not know the boundary's of the neighborhood. So I am gonna go with there opinion.,,2,0,
4,2,2902,130,My neighbors are kind its quiet and my neighborhood is clean,,2,0,
0,0,2902,126,City Hall because ,http://communityplanit.org/assets/attachments/102/103/set-72157631675997424.jpg,0,0,
0,1,2902,125,"Dining out, Cultural, social, entertainment\ni think the point is full of cutler and they are social.Also there are a lot restaurant in the point. So they eat out.",,0,1,cool!
3,0,2902,122,i think he is right because there are not a lot good sights in the point that i knew of that have to do with supernatural.,,0,0,
-1,0,2902,115,dirty and i dont feel safe there,,0,0,
-1,1,2902,118,"[[[42.51438066905148, -70.88967941078562]]]\npalmers cove because its a place everybody loves and they have fun there. But the worst thing is its dirty",,0,1,no is not
3,0,2902,116,i dont think they really have any good sights that i have seen,,0,0,
3,0,2508,144,"i love the ponit its my home 
",,0,0,
-2,0,2508,170,Poor,,0,0,
1,1,2508,141,yes i do. ,,1,0,
0,0,2508,126,"the people
",,0,0,
0,0,2508,125,Grocery shopping\nvery cheap,,0,0,
-2,4,2508,122,because many people say that point is very scary and or ghetto and that's  not right because the point is full of many different culture ,,4,0,
0,2,2508,118,"[[[42.51481167036097, -70.88655191040039]]]\nPalmer  cove
]",,2,0,
0,4,2508,116,"a park with kids playing with new people
",,4,0,
2,5,2508,115,"strong
",,5,0,
0,1,2954,115,think before you say,,0,1,I like your comment Aaron.  Clearly we have a lot of different opinions and it sounds like we as a school need to engage more about the perceptions of the streets around us!
2,3,2927,139,"[[[42.52032, -70.89127100000002]]]\ni like dunkin donuts (:",,2,1,Totally
0,4,2927,138,i dont know...i dont live near here.,,4,0,
0,4,2927,137,the store....?,,4,0,
0,5,2927,133,"[[[42.517829, -70.889159]]]\nthe school...just because",,4,1,That's funny Alex.  Salem Academy is usually the first place I want to bring people!  Where's your school pride?
0,4,2927,132,i dont know.,,4,0,
-1,0,2927,130,"i dont know, i was forced to live there",,0,0,
3,2,2927,126,EVERYHTING  IS JUST BEAUTIFUL!!!  >:O,,2,0,
0,0,2927,125,"Cultural, social, entertainment\nthere are alot of different cultures",,0,0,
2,2,2927,122,"the point is worth visiting because there are alot of different people
",,2,0,
0,0,2927,118,"[[[42.518649, -70.89309200000002]]]\ni dont know.",,0,0,
0,2,2927,116,the street,,2,0,
3,2,2927,115,good (:,,2,0,
0,2,2727,139,"[[[42.513894306206126, -70.88927703475952]]]\nPalmer cove, because it has the mural and it is a community place,",,2,0,
0,4,2727,138,"I don't know about events in the point, but recently a girl got hit by a car and the city decided tho make the road thinner!!",,0,4,good idea!\\ still a waste\\ the city doesnt have that much money to spare\\ exactly ^ first they need more money to do all this stuff they want to do
0,0,2727,137,"I don't actually live anywhere near the point, but a grocery store & a CVS should suffice",,0,0,
3,1,2727,133,"[[[42.515568881061895, -70.88956403112411]]]\nI would take a visitor to the schools. They are great places.",,0,1,"I agree, schools are so important. And they're so pretty. "
0,1,2727,132,I think it is just off in every way.,,0,1,because nothing is perfect
3,2,2727,130,I am proud of my neighborhood because we reach out to others & have community events.,,2,0,
3,4,2727,126,"I know, I know that you're all thinking ""huh?"" but a school bus means a school (that I happen to go to) and the schools are great social & environmental places with their own small communities.",http://communityplanit.org/assets/attachments/102/103/8071398332_e74fd7d654_s.jpg,2,2,"That's a great out-of-the-box answer!\\ thanks!
"
0,4,2727,125,"Cultural, social, entertainment\nThe point is a place where there are always people doing something!",,4,0,
6,1,2727,122,"The point is a great place to live in,and there are many great places to visit. It's not much more dangerous in the point than anywhere else!",,0,1,"I disagree since when I was in the Point, a person got shot, and no one gets shot in my neighborhood."
7,0,2727,118,"[[[42.515792286118526, -70.89024263000488]]]\nMary Jane Lee Park, Palmer Street would be a great place to start, and the I would go to harbor sweets because people get free chocolates & get to see how the chocolate is made. Then I would go to the community gardens to end because there is such a good environment.",,0,0,
0,7,2727,116,I would include the interior of harbor sweets. MMMMM delicious,,5,2,"Harbor Sweets is awesome.....there are so few places where you can see a chocolate factory up close and personal, and the fact that they hire local employees from the neighborhood and give back makes them a treasure in the community.\\ went there for the first time a few months back - amazing!"
0,4,2727,115,fixable,,4,0,
11,4,2589,139,"[[[42.51209117189847, -70.89702325439453]]]\nA nice historic location showcasing beauty in nature and a good place to wind down and enjoy the beautiful vistas overlooking salem harbor",,4,0,
-1,6,2589,138,"Fourth of July Celebration and Block Party
A celebration of music , friendship, food and basketball sponsored by The Boys and Girls Club of Salem MA ",,6,0,
-1,2,2589,137,I would cut across and visit Crosby's for the quickest trip. A short drive however would take you to Market Basket on Highland Ave. Everything is within a few miles. There are also some convenience stores where you could grab your basics right inside the point itself,,2,0,
