user_id,stake,race,gender,education,income,zip_code,birth_year,prior_participation,communication_with_government,worked_in_planning,coins,challenges_completed
2859,Student,"Hispanic, Latino, or Spanish",Male,High School or less,n/a,01970,1996,No,No communication,n/a,30,6%
3206,resident,,,,,,,n/a,,n/a,50,10%
2746,Educator,,,,,,,n/a,,n/a,60,12%
2902,Student,White,Male,High School or less,n/a,i dont kno,2000,n/a,n/a,n/a,410,42%
2508,"resident, Student",,,,,,,n/a,,n/a,130,21%
2954,,,,,,,,n/a,,n/a,10,2%
2927,,White,Female,High School or less,n/a,03874,1998,n/a,n/a,n/a,200,33%
2727,Student,White,Male,High School or less,n/a,01970,2000,No,No communication,No,300,33%
2589,Business Owner ,White,Male,Some College,$50k - $75k,01970,1974,No,"Yes, through personal meetings",n/a,240,33%
2487,Student,"Hispanic, Latino, or Spanish",Female,High School or less,$25k - $50k,01970,1998,Yes,"Yes, through social media",Yes,1280,100%
2828,Educator,White,Female,Master's Degree,over $100k,01945,1943,No,No communication,Yes,200,33%
2934,resident,Other,Male,High School or less,n/a,01970,1990,Yes,"Yes, by phone",Yes,240,33%
3121,Student,n/a,n/a,n/a,n/a,01970,1999,n/a,n/a,n/a,160,33%
3176,Student,White,Male,n/a,n/a,01970,1998,No,No communication,Yes,30,4%
3145,Student,White,Male,High School or less,n/a,01960,1997,No,No communication,No,280,17%
2630,,White,Female,Doctoral Degree,$50k - $75k,19104,1985,No,"Yes, through community meetings",Yes,360,42%
3139,Student,,,,,,,n/a,,n/a,30,4%
3111,Student,Other,Female,n/a,n/a,01970,1998,Yes,n/a,Yes,110,4%
2928,,,,,,,,n/a,,n/a,120,6%
2295,worker,,Male,Bachelor's Degree,,,1977,n/a,"Yes, by email",n/a,950,100%
3130,Student,Multiracial,n/a,High School or less,n/a,01970,1998,Yes,"Yes, by phone",No,200,15%
2956,Student,,,,,,,n/a,,n/a,100,2%
2509,Educator,White,Male,Bachelor's Degree,$50k - $75k,01970,1982,No,No communication,No,80,12%
2502,,,,,,,,n/a,,n/a,160,17%
3212,Student,,,,,,,n/a,,n/a,50,6%
2526,,,,,,,,n/a,,n/a,650,54%
3354,Student,"Hispanic, Latino, or Spanish",Female,High School or less,$75k - $100k,01970,2000,n/a,No communication,No,470,33%
2507,,,,,,,,n/a,,n/a,200,17%
3215,,,,,,,,n/a,,n/a,20,4%
3673,Volunteer,"Hispanic, Latino, or Spanish",Female,Some College,$50k - $75k,01970,1982,No,"Yes, through community meetings",n/a,560,33%
3447,Student,White,Female,Bachelor's Degree,$50k - $75k,01970,1991,No,No communication,No,280,33%
2885,,,,,,,,n/a,,n/a,600,31%
2821,Observer,,,,,,,n/a,,n/a,90,21%
2914,Student,,,,,,,n/a,,n/a,120,27%
3112,Student,White,Female,n/a,n/a,01970,1998,Yes,"Yes, by letter",Yes,120,27%
3005,"Community Organizer or Activist, worker",White,Female,Master's Degree,$25k - $50k,01970,1984,Yes,"Yes, by phone",Yes,210,33%
3194,Student,Multiracial,Female,High School or less,n/a,01970,1999,No,n/a,Yes,80,2%
2948,Educator,,,,,,,n/a,,n/a,120,12%
2485,resident,"Hispanic, Latino, or Spanish",Male,High School or less,n/a,01970,1996,Yes,"Yes, through community meetings",Yes,470,33%
3200,Student,,,,,,,n/a,,n/a,50,10%
2961,,,,,,,,n/a,,n/a,20,4%
