score,popular,user_id,challenge_id,response,media,likes,replies_num,replies
0,0,5790,757, ,,0,0,
0,0,5790,756, ,,0,0,
0,0,5790,755, ,,0,0,
0,0,5790,752,Other (tell us),,0,0,
0,0,5790,750,Other (tell us)\n,,0,0,
0,0,5790,749, ,,0,0,
0,0,5790,745,Other (tell us)\n,,0,0,
0,0,5790,742,Yes\n,,0,0,
0,0,5790,740, ,,0,0,
0,0,5790,736, ,,0,0,
0,0,5790,734,Other (tell us),,0,0,
0,0,5790,730,Other (Tell us),,0,0,
0,0,5790,726, ,,0,0,
0,0,5790,725, ,,0,0,
0,0,5790,724, ,,0,0,
0,0,5790,721, ,,0,0,
0,0,5790,720,Other (tell us)\n,,0,0,
0,0,5790,719, ,,0,0,
0,1,5790,715,Other (tell us)\n,,1,0,
0,0,5790,713, ,,0,0,
0,0,5790,711, ,,0,0,
0,0,5790,708, ,,0,0,
0,0,5790,706,Other (explain in your comment),,0,0,
0,0,5790,704, ,,0,0,
0,0,5790,698, ,,0,0,
0,0,5790,692, ,,0,0,
1,4,5790,690,"A game was made for the Cape
Whose future it tried to shape
Some fun things were added
But no questions were padded
This challenge we could not escape",,4,0,
0,0,5790,685, ,,0,0,
0,0,5790,684,"[[[41.70136655965392, -70.30616479492187]]]\n",,0,0,
0,0,5790,682,"Wetlands Protection, Drinking Water Standards, Oil Spill Prevention, Animal Feeding Operations, Bacteria Contamination, Hazardous Materials Impacts, Stormwater Runoff",,0,0,
0,0,5790,679, ,,0,0,
0,0,5790,677,C\n,,0,0,
0,1,5790,676,Wastewater,,1,1,I'm curious about these CCC_Guide posts. Is someone entering these with the expectation of comments???
0,1,5790,669, ,,1,0,
0,1,5790,670,"Food Prep (boiling water, washing fruits and vegetables, etc.)\n",,1,0,
1,2,5790,672,"[[[41.7012586, -70.30338560000001]]]\nThe Cape Cod Commission office is located in the wastershed for Barnstable Harbor, which is shared by the towns of Barnstable, Yarmouth and Sandwich.",http://communityplanit.org/assets/attachments/598/627/B_Harbor.jpg,2,0,
2,0,6250,734,"Installation for free, Free removal of collected urine",,0,0,
5,0,6249,730,"We should rely on natural systems to remove as much nitrogen as possible in as many locations as possible, regardless of cost., I would be happy to see more trees, wetlands, and protected open space in my community, regardless of cost.",,0,0,
0,0,6249,736,"drinking water filters, because they purify water",,0,0,
0,0,6249,734,"Not for me, but require installation in new homes",,0,0,
-2,3,6201,736,"The objects that I know of in my home that illustrate a process similar to the ""polishing"" process are Windex, because it rids the windows of bacteria and grit, which, in this case are impurities. Another example is toilet cleaners, because they absorb and destroy the impurities, or bacteria that builds up, and leave the toilet clean.",,3,0,
3,0,6201,734,"Free removal of collected urine\nI would not want to pick up my own urine, but I do want to help the environment that I live in, and prevent my waste from diluting the groundwater.",,0,0,
1,2,6201,730,"I would be happy to see more trees, wetlands, and protected open space in my community, regardless of cost.\nIf we must buy more trees, wetlands, and protected open space in this community, it will be costly. However, this cost is nothing than what the cost will be to repair an environment severely damaged environment in a few years, if we don't fix the nitrogen level problem now.",,2,1,I agree! The actions we take now will impact our future!
-4,0,6238,757,sorry I'm at a loss,,0,0,
2,1,6238,756,find ways to have people work out of their homes instead commuting to Boston. Or at least provide better commuter transportation - the train,,1,0,
4,8,6238,755,write a letter to your government asking them to help and have people sign it at the fair,,8,0,
2,0,6238,752,Nothing would make me feel comfortable paying,,0,0,
0,0,6238,750,4 sub-regional groups\nI think too many groups will complicate things,,0,0,
0,0,6238,749,Provincetown Harbor,,0,0,
3,0,6238,745,"Allow more modest growth by changing development rules, Buy properties with future potential",,0,0,
2,0,6238,742,Yes\nnitrogen is the big problem and this would be a big way to resolve,,0,1,"right, get rid of excess nitrogen"
0,1,6238,740,"quality of life, the ocean, family",,1,0,
0,1,6238,736,"water filter
air filter
coffee filter",,1,0,
0,4,6238,734,Installation for free\nInstall in new homes,,4,2,yes good way to start\\ I also like the suggestion of during renovations
0,0,6238,730,Other (Tell us)\nNatural systems and land preservation,,0,0,
-3,1,5861,757,What a waste if the water will be if it's polluted! ,,1,0,
-1,1,5861,756,"To balance these issues we could provide more natural reserves that restrict any development, and have restrictions on what we can build and where. ",,1,0,
1,1,5861,755,Mia can help raise awareness by showing how the increased nitrogen levels in the watersheds area has caused the ecosystem in the area to become polluted.,,1,0,
3,0,5861,752,"If everyone contributed equally, If my contribution went to a fund dedicated to wastewater solutions only",,0,0,
0,0,5861,750,15 town groups,,0,0,
0,1,5861,749,I live in the blue watershed that covers mostly all of the Cape. ,,1,0,
4,0,5861,745,"Allow more modest growth by changing development rules, Allow more development, but only where it currently exists",,0,0,
-2,1,5861,742,"Yes\nYes, because too much nitrogen can lead to dangerous levels in our water systems which can be harmful to different species.",,1,0,
3,0,5861,740,"Beaches, good weather, tourism.",,0,0,
0,1,5861,736,Coffee filters and water filters.,,1,0,
2,0,5861,734,"Installation for free, Free removal of collected urine",,0,0,
4,0,5861,730,"I would be happy to see more trees, wetlands, and protected open space in my community, regardless of cost.",,0,0,
1,0,5861,715,"State or Federal Grants, Gaming Proceeds",,0,0,
5,0,5861,713,"Make sure our beaches are healthy and maintained as well as our waters. By keeping the beaches clean then we can assure that the tourists will want to come back again, contributing to the cape's economic health.",,0,0,
2,0,5861,711,"retail trade - cheese because it's found everywhere and on all pizza
accommodations and food - pepperoni because it is a classic pizza topping for food places
healthcare- broccoli because it is healthy!",,0,0,
0,0,5861,708,Nitrogen levels can come from onshore fertilizers and land runoff as well as decomposition frm plants and animals. ,,0,0,
-2,0,5861,706,Other (explain in your comment)\nI would miss all of these animals!,,0,1,Me too!
1,0,5861,704,"A bag of fertilizer, or a backhoe, can lead to excess nutrients in the ocean from onshore pollutants. This can lead to increased nutrients which can lead to algae blooms which can deprive oysters and fish of oxygen, and block out the sun from reaching photosynthetic plants such as eelgrass. ",,0,0,
0,0,5861,698,Less than 10 years.,,0,0,
0,1,5861,692,65.98,,1,0,
