user_id,stake,race,gender,education,income,zip_code,birth_year,prior_participation,communication_with_government,worked_in_planning,coins,challenges_completed
5790,,n/a,n/a,n/a,n/a,2630,1990,n/a,"Yes, through community meetings",Yes,1170,98%
6250,Year-round Cape Resident,,,,,,,n/a,,n/a,30,2%
6249,Student,,,,,,,n/a,,n/a,90,6%
6201,Year-round Cape Resident,,,,,,,n/a,,n/a,160,8%
6238,Vacationer,n/a,Male,Bachelor's Degree,n/a,14223,1961,n/a,No communication,n/a,920,33%
5861,Student,White,Female,High School or less,$75k - $100k,2536,1995,No,No communication,n/a,790,81%
4280,Vacationer,White,Female,Master's Degree,n/a,6517,2000,Yes,"Yes, through community meetings",Yes,1280,100%
6207,Municipal Employee,,,,,,,n/a,,n/a,60,4%
5829,"Work on Cape, Year-round Cape Resident",White,Female,Bachelor's Degree,$50k - $75k,2653,1981,No,"Yes, through social media",No,130,21%
5938,Student,,,,,,,n/a,,n/a,300,29%
5888,Regular Visitor,White,Male,Bachelor's Degree,n/a,2664,1957,Yes,"Yes, through personal meetings",No,1390,67%
4122,Year-round Cape Resident,White,Female,High School or less,n/a,2664,1952,Yes,"Yes, through community meetings",No,1360,100%
4579,Municipal Employee,White,Female,Master's Degree,$50k - $75k,2653,1952,Yes,"Yes, through community meetings",Yes,510,33%
5961,Student,,,,,,,n/a,,n/a,180,23%
6277,,n/a,Female,High School or less,n/a,2536,2000,No,No communication,No,770,33%
5864,,n/a,n/a,n/a,n/a,2540,1999,n/a,n/a,n/a,1190,79%
5986,,Black or African American,Male,Doctoral Degree,$50k - $75k,dont stalk,1901,n/a,"Yes, through community meetings",No,300,33%
4458,"Regular Visitor, Vacationer",White,Female,Bachelor's Degree,n/a,12309,1962,No,"Yes, through personal meetings",Yes,1460,100%
6245,Student,,,,,,,n/a,,n/a,180,10%
6206,Student,White,Female,High School or less,n/a,2601,1996,No,No communication,Yes,210,19%
5442,Year-round Cape Resident,White,Female,Professional Degree,over $100k,2642,1935,No,"Yes, through community meetings",Yes,60,8%
5896,Student,Multiracial,n/a,High School or less,n/a,2540,1999,n/a,n/a,n/a,1200,65%
6173,,,,,,,,n/a,,n/a,30,2%
6169,,,,,,,,n/a,,n/a,90,8%
5751,Student,White,Female,High School or less,n/a,2601,1998,No,No communication,No,740,69%
5894,,White,Male,High School or less,n/a,2536,1999,No,No communication,No,1200,67%
