user_id,stake,race,gender,education,income,zip_code,birth_year,how_discovered,prior_participation,communication_with_government,worked_in_planning,goal_in_playing,coins,challenges_completed
3323,Lives in,American Indian or Alaskan Native,Male,Master's Degree,over $100k,19143,1982,From a friend,No,"Yes, through social media",No,Share my ideas about how to change my community,510,33%
3709,,Asian,Male,Master's Degree,over $100k,19143,1967,From a local blog,No,"Yes, through community meetings",unspecified,Learn about issues in my community,630,33%
3581,Lives in,Asian,Male,Doctoral Degree,over $100k,19104,1981,From a local blog,Yes,"Yes, by email",Yes,Share my ideas about how to change my community,20,2%
3704,Lives in,Black or African American,Female,Professional Degree,over $100k,19104,1971,From a friend,No,No communication,No,Learn about issues in my community,420,27%
3650,,Black or African American,Male,High School or less,over $100k,19121,1998,From an organization (i.e. boys and girls club),Yes,"Yes, through personal meetings",No,Share my ideas about how to change my community,650,33%
2816,,"Hispanic, Latino, or Spanish",Male,Doctoral Degree,over $100k,19104,1959,From the city,No,"Yes, by email",Yes,Connect with decision makers,200,33%
2642,,unspecified,Male,Master's Degree,over $100k,19130,1977,From a local blog,Yes,No communication,No,Share my ideas about how to change my community,360,40%
3515,,unspecified,Female,Master's Degree,over $100k,19130,1971,From a local blog,No,No communication,No,Share my ideas about how to change my community,390,33%
2242,Observer,unspecified,Male,Master's Degree,over $100k,19146,1951,From a friend,No,Other,No,Learn about issues in my community,1150,100%
3520,Educator,White,Female,Master's Degree,over $100k,19147,1974,From a local blog,No,"Yes, by email",Yes,Haven't thought about it,1090,67%
2448,,White,Female,Master's Degree,over $100k,19123,1975,From the city,Yes,No communication,Yes,Share my ideas about how to change my community,250,33%
2730,Observer,White,Female,Master's Degree,over $100k,08323,1950,From a friend,Yes,"Yes, through personal meetings",Yes,Share my ideas about how to change my community,10,2%
2362,Observer,White,Female,Master's Degree,over $100k,19145,1980,From the city,Yes,"Yes, by email",Yes,Connect with decision makers,720,50%
2364,Observer,White,Male,Bachelor's Degree,over $100k,19146,1976,From an organization (i.e. boys and girls club),unspecified,"Yes, by email",unspecified,Connect with decision makers,1590,100%
3691,Community Organizer or Activist,White,Male,Master's Degree,over $100k,08109,1985,From a local blog,No,"Yes, by email",unspecified,Share my ideas about how to change my community,440,27%
2342,Lives in,White,Female,Bachelor's Degree,over $100k,19104,1978,From an organization (i.e. boys and girls club),No,"Yes, by email",Yes,Share my ideas about how to change my community,1220,96%
3390,Lives in,White,Male,Bachelor's Degree,over $100k,19143,1975,From a local blog,No,"Yes, by email",No,Share my ideas about how to change my community,510,33%
2708,"Lives in, Works In",White,Male,Doctoral Degree,over $100k,19146,1976,From a friend,No,"Yes, by email",No,Share my ideas about how to change my community,20,4%
3586,Lives in,White,Male,Bachelor's Degree,over $100k,19104,1973,From an organization (i.e. boys and girls club),Yes,"Yes, through personal meetings",Yes,Connect with decision makers,610,33%
3525,Observer,White,Male,Bachelor's Degree,over $100k,19145,1977,From a friend,Yes,"Yes, by email",Yes,Share my ideas about how to change my community,200,17%
3006,Lives in,White,Female,Master's Degree,over $100k,19104,1971,From the city,No,"Yes, by email",Yes,Share my ideas about how to change my community,900,67%
3502,Lives in,White,Female,Master's Degree,over $100k,19146,1969,From a local blog,Yes,"Yes, by email",Yes,Share my ideas about how to change my community,1200,67%
3019,Lives in,White,Female,Bachelor's Degree,over $100k,19143,1971,From a local blog,Yes,"Yes, by email",Yes,Share my ideas about how to change my community,180,33%
3409,,White,Female,Bachelor's Degree,over $100k,19096,1956,From a friend,No,unspecified,unspecified,unspecified,320,33%
2271,Lives in,White,Male,Master's Degree,over $100k,,1966,From the city,unspecified,"Yes, through personal meetings",unspecified,Connect with decision makers,50,8%
3601,,White,Male,Doctoral Degree,over $100k,19143,1973,From a local blog,No,"Yes, by phone",No,Share my ideas about how to change my community,90,6%
3243,Lives in,White,Female,Bachelor's Degree,over $100k,19104,1962,From a friend,No,"Yes, through community meetings",Yes,Share my ideas about how to change my community,980,71%
2622,Observer,White,Male,Doctoral Degree,over $100k,02130,1973,unspecified,Yes,"Yes, through social media",Yes,Connect with decision makers,620,50%
2443,Observer,White,Female,Master's Degree,over $100k,,1964,From a friend,Yes,"Yes, through community meetings",Yes,Learn about issues in my community,620,46%
2968,Lives in,White,Male,Bachelor's Degree,over $100k,19143,1980,From a friend,No,No communication,unspecified,Haven't thought about it,300,33%
3418,Lives in,White,Female,Professional Degree,over $100k,19143,1978,From a local blog,No,"Yes, by email",No,Share my ideas about how to change my community,240,33%
3389,Lives in,White,Male,Bachelor's Degree,over $100k,19143,1975,From a local blog,No,"Yes, through personal meetings",Yes,Learn about issues in my community,470,29%
